#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4455.10310886478     All      -1.052925351423002        0.8299883711941902       -0.13678155463754393       0.607223012909397          
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5388.035250103745    All      0.36109289132112343       0.5136432878299679       0.04567498433492023        0.0517289476751559         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7891.687269352298    All      0.47093640141862525       -0.12109715822465894     0.12956787161471084        -0.18706278867494097       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6369.283731276467    All      1.218701608008702         -0.22405546878463412     -0.036530335796736146      -0.47158362631840034       
Check         All|All|All                       All                  All      0.9978055493254487        0.9984790320148651       0.0019309655153509908      0.00030554559121154234     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4455.10310886478     All      -0.0014785157770529638    0.001144986969636674     -0.0002063728041435959     0.0008453516848605751      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5388.035250103745    All      0.00023835453878733753    0.0003383616877683112    -0.0007690651796684153     -1.7442282194134405e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7891.687269352298    All      3.816700784322241e-05     9.807550939053857e-06    8.711156174483733e-05      -5.3502192003667214e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6369.283731276467    All      0.0002600073533116574     -9.37832837645014e-05    -0.00013755147916716615    -0.00012137954062607839    
MWEBV         All|All|All                       All                  All      -0.8106840300897478       -4.1508177553370995      0.010756567853364984       -1.0875114252284823        
Redshift      All|All|All                       All                  All      3.6045413163580484        -3.341011197788024       -1.7826548290952315        -2.341946653332938         
