#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5078.312635213738     All      0.035935391772538          0.0365365841491716         0.09107582716845876        0.004260124006095259      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4488.994269756625     All      -0.198914614160567         0.1968224284041753         -0.07931383071414169       0.12536516213579965       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5851.8120704975745    All      0.16002118056931436        0.01902926055308285        0.09659847012239901        -0.041614960784841316     
Zeropoint     AB|SDSS|SDSS_u                             3356.0981710427545    All      -0.091269051952336         0.04797480832507972        0.029264386766214356       0.046662241454197756      
Zeropoint     AB|SDSS|SDSS_i                             6993.002889130372     All      0.2501486806552604         -0.005077331165459498      0.08676245644478513        -0.07926369879080924      
Zeropoint     AB|SDSS|SDSS_g                             4413.093398694758     All      -0.20429861459306306       0.15556014996152           -0.2640628727828203        0.10543392540173833       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4109.271596171537     All      -0.28272061641980517       0.17495924571191424        -0.14267739279661423       0.1427143515695711        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7104.584050502398     All      0.27433560763511           -0.02240677178857453       0.07942241350986491        -0.09311449797160687      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5020.392763933478     All      0.13352609735375834        0.21680080547961111        0.11012106193593442        0.032039509319568664      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5810.7928739080635    All      0.5254624352078999         0.0631332067634105         0.14388666752915402        -0.14417483875993334      
Zeropoint     AB|SDSS|SDSS_r                             5766.593807159864     All      0.3158613664018606         0.04015505658649943        -0.4710321440519913        -0.11082661679168858      
Zeropoint     AB|SDSS|SDSS_z                             8314.09750787719      All      0.07524276440592108        -0.003668729795691661      0.03129187392668832        -0.024307657157542815     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7129.396348699989     All      0.11835956633480242        -0.00042611153139304747    0.14569299739709218        -0.0321907938836462       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3358.1959240473057    All      -0.08797223669680294       0.05186287241301102        0.11510986787086519        0.05068572019808551       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4106.361273214113     All      -0.028663732622723467      0.025584630133224096       0.02945162593814644        0.01898476726692952       
Check         All|All|All                                All                   All      0.9950542238911673         0.9968401041995811         0.0015914082640351539      0.0006527372119174701     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5078.312635213738     All      2.9922098265727313e-06     2.8095903214710156e-06     -5.453235199703847e-06     -3.028380219743136e-07    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4488.994269756625     All      -8.303292014900465e-05     -9.785194584935099e-08     -0.00044068321314443134    7.349012378621562e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5851.8120704975745    All      -2.5809966019684448e-05    -2.362522983967196e-06     -1.4958738208911458e-05    6.9700638114320475e-06    
Lambda        AB|SDSS|SDSS_u                             3356.0981710427545    All      -5.8728299314563976e-05    2.860839273518405e-05      1.350039924234082e-05      2.9050894705520756e-05    
Lambda        AB|SDSS|SDSS_i                             6993.002889130372     All      -0.00018345650217785488    3.4322405736060496e-06     -0.00017816752428538688    5.292501365614428e-05     
Lambda        AB|SDSS|SDSS_g                             4413.093398694758     All      -5.508295811256059e-05     6.0397810895031245e-06     -0.00023085951263799193    9.607487286859551e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4109.271596171537     All      -0.00022850833188667265    7.202527508901239e-05      -0.0005285739764240006     7.430585413863093e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7104.584050502398     All      -0.00018294331927962636    -1.3646335098103508e-05    -0.00041250726325669953    3.673729287145115e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5020.392763933478     All      -5.3086144476518476e-05    -2.917052263902065e-05     -0.000711689370118531      -2.396932308428044e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5810.7928739080635    All      -9.495480568157277e-05     -4.283431360515708e-06     3.6620183678286787e-06     2.9698068676693675e-05    
Lambda        AB|SDSS|SDSS_r                             5766.593807159864     All      -0.00010471034841180106    -6.747325390431948e-06     4.815594484763918e-05      3.405875813208328e-05     
Lambda        AB|SDSS|SDSS_z                             8314.09750787719      All      -6.343405363544169e-06     5.786590021695401e-07      1.8401854620575407e-05     3.0759343481213486e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7129.396348699989     All      -6.454268948765005e-05     1.25758052843874e-06       -7.169775547548375e-05     1.8233771177833065e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3358.1959240473057    All      -0.00023270615193163573    0.00011945923572850102     0.00017872729915811614     0.00012268763115465755    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4106.361273214113     All      -1.5348128208023905e-05    1.0804160600206899e-05     -1.2831246978673708e-06    8.46140088749934e-06      
MWEBV         All|All|All                                All                   All      -0.9046442533126231        -3.6774059962541017        0.18072325933056735        -0.8951148717958277       
Redshift      All|All|All                                All                   All      6.7912724385665815         0.3324386632732157         2.8976213806536832         -1.9745471160077563       
