#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5078.312635213738     All      0.04055013195297148        0.04096171646068569        0.09341216757023929        0.0043026226269827356      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4488.994269756625     All      -0.1801189705673847        0.1868926270665483         -0.016112157321623855      0.11882874009148878        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5851.8120704975745    All      0.1772185383713735         0.02149914049267565        0.1097652604031385         -0.04582461146692765       
Zeropoint     AB|SDSS|SDSS_u                             3356.0981710427545    All      -0.08244463917243786       0.04540403916628577        0.04358378891129444        0.04358946495751498        
Zeropoint     AB|SDSS|SDSS_i                             6993.002889130372     All      0.2368314703764554         -0.003652347885996221      0.08987135858192774        -0.07432294532140962       
Zeropoint     AB|SDSS|SDSS_g                             4413.093398694758     All      -0.20095433289760117       0.14826268601684234        -0.2821834025109604        0.10115892272652832        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4109.271596171537     All      -0.2927056023132496        0.1724212377298251         -0.1884850392677606        0.14309589239849888        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7104.584050502398     All      0.25388182637829204        -0.02156220065332448       0.052154137326410055       -0.08739378182993432       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5020.392763933478     All      0.14295081903063878        0.22806563474349062        0.11854992835926836        0.03301503449448587        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5810.7928739080635    All      0.5174605604712591         0.0605752685673977         0.13452880824682545        -0.14281916780913562       
Zeropoint     AB|SDSS|SDSS_r                             5766.593807159864     All      0.3233433461565177         0.03760262492580324        -0.47978159485810856       -0.11448560251670209       
Zeropoint     AB|SDSS|SDSS_z                             8314.09750787719      All      0.071584486955166          -0.002507881922664268      0.035958695959537046       -0.022529650661685247      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7129.396348699989     All      0.11288383478221496        0.0011620635228304366      0.15862437023278497        -0.02931277932817361       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3358.1959240473057    All      -0.08429375195986963       0.04800545045764437        0.10365328593510137        0.047719772830821794       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4106.361273214113     All      -0.03786082323037301       0.032763293444482144       0.034906237912757376       0.024562303344919517       
Check         All|All|All                                All                   All      0.998326894333973          0.9958933521325264         0.00844584548083116        -0.00041578546272730277    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5078.312635213738     All      9.551431018747112e-06      -2.4207923522065784e-07    -1.60686036417566e-05      -3.907136466738901e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4488.994269756625     All      -4.719487233489318e-05     -9.819685782190785e-06     -0.0003561040808161515     -3.7169617326092406e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5851.8120704975745    All      -2.8618623009057114e-05    -5.908262226436937e-06     -1.9791277703065324e-05    6.5143178297394875e-06     
Lambda        AB|SDSS|SDSS_u                             3356.0981710427545    All      -6.787155764910406e-05     2.702049997324583e-05      -4.069777517390213e-05     2.9093310235675993e-05     
Lambda        AB|SDSS|SDSS_i                             6993.002889130372     All      -0.00017103205366529215    3.494510204975169e-07      -0.00018827292231681403    4.742283854344826e-05      
Lambda        AB|SDSS|SDSS_g                             4413.093398694758     All      -3.703264984507913e-05     -1.7720680616584978e-06    -0.0001821729655951329     3.3559887612011143e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4109.271596171537     All      -0.00021298339618802916    5.7914574613256914e-05     -0.000522957708319113      6.490318070409368e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7104.584050502398     All      -0.00018306454780726063    -1.5591229706106855e-05    -0.0004444931188287179     3.471588300378484e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5020.392763933478     All      -0.00010853041584368947    -2.4657858221038406e-05    -0.0007879433037203213     -7.842239409456988e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5810.7928739080635    All      -0.0001087728892531547     -4.4979194773511434e-06    1.2388289382756084e-05     3.451862065838474e-05      
Lambda        AB|SDSS|SDSS_r                             5766.593807159864     All      -0.0001014303736413442     -4.764670359858092e-06     7.342427439087496e-05      3.476378790652638e-05      
Lambda        AB|SDSS|SDSS_z                             8314.09750787719      All      -3.337776601793902e-06     -2.428750709054508e-07     1.0498443323068365e-05     1.4766085557488004e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7129.396348699989     All      -7.482040341432284e-05     -2.8645879409259166e-07    -9.404758440759152e-05     2.008124610957336e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3358.1959240473057    All      -0.00021948914433198615    0.00011076455854877029     0.00016142357992989193     0.00011477808903294843     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4106.361273214113     All      -2.0629943932843587e-05    1.1893147469629718e-05     -9.78461810929177e-06      1.0157198280619e-05        
MWEBV         All|All|All                                All                   All      -0.905651046112975         -3.6760896456341285        0.1966003210374767         -0.893649627211407         
Redshift      All|All|All                                All                   All      7.102271007172502          0.52274107193373           3.4748515692029747         -1.9881026938951023        
