#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4440.53173761036     All      -2.840299477548376       1.0252554339059472        -1.2177719764611128      1.2047948373547723        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5317.541146381341    All      3.834299158921499        -0.023236332005005522     1.2037847959923687       -1.2028068318812868       
Check         All|All|All                            All                  All      0.9939996813731231       1.0020191019009417        -0.013987180468744143    0.0019880054734855435     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4440.53173761036     All      -0.001628716174025342    0.0001753073875925789     -0.003571723977490087    0.0004282401878507424     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5317.541146381341    All      0.0022710031168799638    4.6511668518622725e-05    0.0016680688819604203    -0.0006501517952875452    
MWEBV         All|All|All                            All                  All      -0.12864207962580965     -2.404672325104329        -0.026021624818883815    -0.7425391557259631       
Redshift      All|All|All                            All                  All      -1.8569759892091464      -0.8574092523558008       -1.074295411346049       0.277650900813986         
