#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6396.393529220467     All      0.411248717310724          -0.06591620370985929       -0.9420735290295745        -0.1974687278493925        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5410.968526922328     All      -0.025713043322400042      0.2259292299158            -1.0713649583603906        0.03415806968821711        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V     5510.579899793646     All      0.06465534444113777        0.03402192313307628        0.27210514479650283        0.0021644897488792836      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4474.065515031101     All      -0.704595871435755         0.46725738647522275        -1.1352556292849396        0.33104991423418273        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g     4734.530963954351     All      0.27332302434407685        0.14056423620790737        1.6127182512827936         0.028724303677385432       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r     6241.151477244704     All      0.5750044480122607         0.009370890760584949       0.8505631566795679         -0.14628873120083874       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i     7573.49035127577      All      0.2601208940347317         -0.002795773490482656      0.48523969146076207        -0.0639865895098013        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B     4397.261363536067     All      -0.20587778068402052       0.21645160154301069        0.08115061924866274        0.14118795344107427        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7925.2769250083675    All      0.4648481411233094         -0.13776240531829798       -0.02611005551727552       -0.19745525213272774       
Check         All|All|All                       All                   All      1.113013873824065          0.8871208855169621         0.1269726912761091         -0.06791456990302147       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6396.393529220467     All      0.00015740358667753253     -7.217746310139459e-05     -0.00040828292078607173    -9.300189248424071e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5410.968526922328     All      -0.00016558700848965212    0.00016039556358233694     -0.0015465096487463337     3.7169625470274053e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V     5510.579899793646     All      -3.718315500269488e-05     4.8680056182671384e-05     0.00020525312664950655     3.712797704767058e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4474.065515031101     All      -0.0011913832930788625     0.000661391043409587       -0.002456897323600763      0.000493869512428386       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g     4734.530963954351     All      0.00036742891362947393     0.00020285650173238633     0.002258936791169055       4.719932524204331e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r     6241.151477244704     All      0.0001203510873602699      -3.5947332371907207e-06    7.999508782684741e-05      -3.6803418099407987e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i     7573.49035127577      All      -1.1874242942681434e-05    -6.227673096633834e-06     -6.177150109056431e-05     -9.173048219412735e-07     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B     4397.261363536067     All      -0.0002777634691941551     0.0003098895996014093      0.0001517769355486489      0.00019819104526570987     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7925.2769250083675    All      0.00017704917778942826     -1.4521293527126132e-05    0.0002609600798014044      -5.075535517386384e-05     
MWEBV         All|All|All                       All                   All      -0.7577654189388712        -4.171895626056132         0.10196595601536518        -1.107544257701354         
Redshift      All|All|All                       All                   All      3.69408187536622           -4.188527958015442         -0.7436595902220067        -2.6008114648996994        
