#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6396.393529220467     All      0.5597399573573262         -0.09604105900447024       -0.14241248813840682       -0.2199646668523642        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5410.968526922328     All      0.35978322205977453        0.11802426579903269        -0.1338314211254039        -0.08472112734688018       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V     5510.579899793646     All      0.44497563975469445        0.10063349993458814        0.21394395996997698        -0.10261622713492492       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4474.065515031101     All      -0.4582029151103491        0.2974598704464704         -0.18803791176956197       0.2377529614476839         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g     4734.530963954351     All      -0.3909172328506547        0.40128745028185087        0.07599925539549764        0.26143862577253707        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r     6241.151477244704     All      0.6283839097392768         -0.06264896817702592       0.18445460150367773        -0.21686078094798011       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i     7573.49035127577      All      0.1882987660000392         -0.03275985142341398       0.056396835356267876       -0.06948933256665944       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B     4397.261363536067     All      -0.4999944543246118        0.3079940127948433         -0.06032332947282361       0.2604964726324685         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7925.2769250083675    All      0.1677060285166026         -0.03867400220052275       -0.004872178564475335      -0.0674421886581298        
Check         All|All|All                       All                   All      0.9997729211420979         0.9952752184513525         0.0013173231547485677      -0.0014062636542491874     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6396.393529220467     All      -0.00010288712883188873    -3.216105074771147e-05     -0.00029864969259936627    9.71044631858765e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5410.968526922328     All      0.0001271052857120862      -7.864321680921957e-05     -0.0007630421742425888     -0.00010107012390636498    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V     5510.579899793646     All      -1.316203174262244e-06     -2.5606783848411274e-05    -0.00022029148491378142    -1.7742838471445307e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4474.065515031101     All      -0.00031630931183583024    0.00011428674399932543     -0.00046326906007974634    0.00011958573114144313     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g     4734.530963954351     All      -0.00016690469416577364    1.891851015877432e-05      -0.0005398696883058375     3.643682639304503e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r     6241.151477244704     All      -0.00015814357356218152    1.6896022254788767e-05     -9.788319723593201e-05     5.264807745786568e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i     7573.49035127577      All      -4.109622815514181e-05     3.3137551554629785e-06     -3.846727252299395e-05     1.2749174910408671e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B     4397.261363536067     All      -0.00021758704106096018    0.00011775898967337719     -9.305805976668557e-05     0.00010508048095970731     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7925.2769250083675    All      2.1848115473346195e-05     7.6046520818817185e-06     8.349950496561778e-05      -9.133652153663981e-07     
MWEBV         All|All|All                       All                   All      -0.8936878209297943        -4.136622962488268         0.0024315669174687802      -1.0562221553390163        
Redshift      All|All|All                       All                   All      4.7706816702651595         0.6175782262539897         0.7568507486771151         -1.3190276519356368        
