#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6548.695993080469    All      3.055568304593366         -1.3203867600669383      0.5829094848258887        -1.3993799561039604       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5468.635144840345    All      -2.060548770656023        2.3273493957667313       -0.5746915562446553       1.403636945673367         
Check         All|All|All                            All                  All      0.9950195339373433        1.006962635699793        0.00821792858123338       0.004256989569406677      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6548.695993080469    All      -0.001100074334850782     0.0003497394590728819    -0.001217566391496878     0.000417917654165665      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5468.635144840345    All      -0.0004627773964309554    0.000289625327527785     -0.001314653540443285     0.00018641537098306528    
MWEBV         All|All|All                            All                  All      -0.5640960767091561       -3.188197871957854       -0.0006665054123278225    -0.8547860281726993       
Redshift      All|All|All                            All                  All      10.867361944887163        -2.3982442294050443      8.963565967566977         -3.921041575483887        
