#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4336.5712040207       All      -1.00692653326337         0.6084695587078137        -0.3019861721864858        0.5127113962155163         
Zeropoint     AB|CNIa02|SDSS_r                      6117.14455983713      All      1.0557468147130025        -0.2831591063980454       -0.46326890345834704       -0.4567992706465282        
Zeropoint     AB|CNIa02|SDSS_i                      7418.106946783134     All      0.6276980090043807        -0.19993497988490816      0.1278411958353265         -0.2638823273810584        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5425.2787273943295    All      0.3200373319576253        0.8733633405334729        0.6438740213066785         0.20896962524262624        
Check         All|All|All                           All                   All      0.9965556224116386        0.998738812958333         0.006460141497172112       0.000999423430555979       
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4336.5712040207       All      -0.0005545450252682893    0.00027843172238625665    -0.0004616841525925605     0.00025072508754050987     
Lambda        AB|CNIa02|SDSS_r                      6117.14455983713      All      8.347295765240715e-06     -3.670522672362814e-05    -0.0002674831653868805     -2.6611633924062376e-05    
Lambda        AB|CNIa02|SDSS_i                      7418.106946783134     All      1.7847808512452986e-05    -6.881401211668462e-05    -0.00039583491748263383    -4.5892900431354546e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5425.2787273943295    All      -5.337338583584231e-05    -6.269847729499852e-05    -0.0010413306685300374     -4.9507294152368525e-05    
MWEBV         All|All|All                           All                   All      -0.8608479298062672       -4.0744318300864          0.012309697908491346       -1.0462206748099903        
Redshift      All|All|All                           All                   All      5.202303105767799         -0.557550802661666        0.3316688883184371         -1.8613730523549963        
