#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4336.5712040207       All      -0.985635925950766        0.5933204113780732         -0.34818138152380324       0.4987802892703838        
Zeropoint     AB|CNIa02|SDSS_r                      6117.14455983713      All      1.0757568121496606        -0.2995100800594841        -0.46980156206133383       -0.4689347577236311       
Zeropoint     AB|CNIa02|SDSS_i                      7418.106946783134     All      0.6537385299861863        -0.2277113196566205        0.06205623337707072        -0.284347930185716        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5425.2787273943295    All      0.25088949101516655       0.9332897107028337         0.7530331454004492         0.25588461257574224       
Check         All|All|All                           All                   All      0.9947489072002474        0.9993887223648024         -0.002893564807617266      0.0013822139367789532     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4336.5712040207       All      -0.0006478487298465267    0.00033827007569714305     -0.0004909392820685491     0.00029930297195448813    
Lambda        AB|CNIa02|SDSS_r                      6117.14455983713      All      8.430893635027732e-05     -4.7573018767964484e-05    -0.00021841797817349367    -5.270528277785357e-05    
Lambda        AB|CNIa02|SDSS_i                      7418.106946783134     All      4.9302374687277254e-05    -7.828401239825897e-05     -0.0003665404744581147     -5.791610165677458e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5425.2787273943295    All      -3.73038421547927e-05     -6.332087723095606e-06     -0.0009707839634005234     -3.323311027823278e-05    
MWEBV         All|All|All                           All                   All      -0.8527287649794411       -4.079991568327301         0.007821021937790568       -1.0508766525545221       
Redshift      All|All|All                           All                   All      5.238240604566145         -1.0073157042817193        0.8911259535659075         -1.9946163039769822       
