#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6529.129155123093     All      1.4203064604425655         -0.21929627733845436      0.5195813479735967        -0.5108860238138884       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5371.2737630732545    All      0.4953497624444496         0.5297436846179338        -0.40367358190142033      -0.006810865976224906     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4374.799654560661     All      -1.177124673918787         0.7588974258330161        -0.09722588024035916      0.626287346631555         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7832.918037980278     All      0.25714298063051116        -0.07030172060495943      -0.024989290539756404     -0.10777466906821409      
Check         All|All|All                                      All                   All      0.9956745295987395         0.9990431125075361        -0.006307404707939224     0.0008157877732276608     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6529.129155123093     All      -0.0004996871344012705     1.2962218919444117e-05    -0.00105581140614784      0.00011987074614933567    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5371.2737630732545    All      -0.00019982065725049664    6.99857933540956e-05      -0.001896291752596439     3.262045765107512e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4374.799654560661     All      -0.000594523547268631      0.00021422562414562124    -0.0010287942402821266    0.0002175258503243        
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7832.918037980278     All      -2.157311848994605e-05     6.865687824685364e-06     -4.639464940947538e-06    9.056416813590098e-06     
MWEBV         All|All|All                                      All                   All      -0.8875618649096237        -4.066501046419635        -0.035174637008017484     -1.0370547579088305       
Redshift      All|All|All                                      All                   All      5.3867729371892645         -0.5388640073035411       4.914589072687947         -1.7108593620633736       
