#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6529.129155123093     All      1.3831239853632344         -0.23293095880605463      0.431306926304148         -0.5071550147445019       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5371.2737630732545    All      0.4434995268422562         0.5681769113387247        -0.4526435481914195       0.020412123255454086      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4374.799654560661     All      -1.1306797282880865        0.746519000899859         -0.04127478364095213      0.6096234800746368        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7832.918037980278     All      0.3004702762295567         -0.08358967365396097      0.05858623026006684       -0.12248652649442622      
Check         All|All|All                                      All                   All      0.9964140601469607         0.9981752797785681        -0.0040251752681567735    0.0003940620911628695     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6529.129155123093     All      -0.00042703497891883154    1.2495057650859277e-05    -0.0008548507094248588    0.00010502133204510918    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5371.2737630732545    All      -0.000152450898467385      9.487044644398519e-05     -0.0016395568783574247    7.394805399479812e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4374.799654560661     All      -0.0006402607412470445     0.0002744443022651319     -0.0008560934349706665    0.0002597460074661873     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7832.918037980278     All      -2.3200975341153536e-05    6.375640108533095e-06     -5.906828384221527e-06    9.370482072002698e-06     
MWEBV         All|All|All                                      All                   All      -0.8633673385475427        -4.075026560130546        -0.0121470602249125       -1.0466851364279532       
Redshift      All|All|All                                      All                   All      4.8779804807420675         -0.8245638985370896       3.189443711979502         -1.7151760881882625       
