#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8400.875594048892     All      0.31443934022791165        -0.07038413816875533       0.13822191616356658       -0.11918145794210369       
Zeropoint     AB|PS|PS_i                7309.9146431540175    All      0.6133535093077997         -0.09542608396042596       0.5030306347545056        -0.20842488479050764       
Zeropoint     AB|PS|PS_r                6035.183784442039     All      1.1954664378235087         -0.04515210961297811       -0.7072954350221795       -0.43567362281254907       
Zeropoint     AB|PS|PS_g                4752.367246653157     All      -1.1234641602826687        1.2100557373075915         0.07138206883993854       0.7632896550558085         
Check         All|All|All               All                   All      0.9997951270765515         0.9990934055654321         0.00533918473583124       9.689510648058786e-06      
Lambda        AB|PS|PS_z                8400.875594048892     All      0.0003152172987905129      -7.3454628201198e-05       9.715461685302839e-05     -0.00012226766921265343    
Lambda        AB|PS|PS_i                7309.9146431540175    All      -0.00018657767348938335    -5.6998268125760725e-06    -0.0006174227154509367    3.136512529642637e-05      
Lambda        AB|PS|PS_r                6035.183784442039     All      -0.00019650634277951679    -2.5973740533977042e-05    -0.0005379481509896958    3.1541923635163336e-05     
Lambda        AB|PS|PS_g                4752.367246653157     All      -0.0002218990388162773     -0.00011643738322190847    -0.0018595429311032722    -4.86305296308728e-05      
MWEBV         All|All|All               All                   All      -0.6989044713797963        -4.009827728889626         0.10262338631404476       -1.073897020711663         
Redshift      All|All|All               All                   All      5.012939503318091          1.813825181133133          12.787161639588179        -0.4714244878050088        
