#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8400.875594048892     All      0.3299858809562126         -0.06819216971294395       0.2040481460426985        -0.12059395917306415       
Zeropoint     AB|PS|PS_i                7309.9146431540175    All      0.6080348243754101         -0.08871603099738223       0.5816233230761969        -0.200999498407607         
Zeropoint     AB|PS|PS_r                6035.183784442039     All      1.2341717558487204         -0.04819747373314698       -0.5304789125948478       -0.44138268423692567       
Zeropoint     AB|PS|PS_g                4752.367246653157     All      -1.174314684482711         1.2066776287722014         -0.25698209957383256      0.7640995979196409         
Check         All|All|All               All                   All      0.9978777766976326         1.0015719543287283         -0.0017895430497849585    0.001123456102044007       
Lambda        AB|PS|PS_z                8400.875594048892     All      0.00026900708996654575     -6.284270676759198e-05     7.345229692362652e-05     -0.00010481655767283418    
Lambda        AB|PS|PS_i                7309.9146431540175    All      -0.00020257242727387387    -5.87604883274713e-06      -0.0006621241458822144    3.4522921972398484e-05     
Lambda        AB|PS|PS_r                6035.183784442039     All      -0.0002065772028514379     -1.899176905622682e-05     -0.0004747363826315047    3.9917442793060245e-05     
Lambda        AB|PS|PS_g                4752.367246653157     All      -0.00023728504160810493    -0.00010609492611935127    -0.0019067288044947834    -4.235561261466831e-05     
MWEBV         All|All|All               All                   All      -0.7088415790248805        -4.008256138557442         0.08431677297121021       -1.0709651992298066        
Redshift      All|All|All               All                   All      5.413792818652657          1.740999873420357          13.95130155560913         -0.5737669811445762        
