#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7308.219033471265    All      0.7428255715197233         -0.15293062606982488       0.5246901545040132        -0.2683627512776868        
Zeropoint     AB|PS|PS_g                4751.264886323003    All      -1.1138399791088733        1.195525212256321          0.034859971674058916      0.7537918591154855         
Zeropoint     AB|PS|PS_z                8398.926924783074    All      0.2321742961217234         -0.06566937652836558       -0.07456984590636008      -0.10034519268379816       
Zeropoint     AB|PS|PS_r                6033.783861657485    All      1.1377138524794688         0.022108816621102534       -0.4858181922424364       -0.3850690971321108        
Check         All|All|All               All                  All      0.9988737410120421         0.999034026279233          -0.0008379119707242477    1.4818021889795308e-05     
Lambda        AB|PS|PS_i                7308.219033471265    All      -0.00010164594362037088    -2.0490831992175213e-05    -0.0014002072502420015    -3.6049928877836654e-05    
Lambda        AB|PS|PS_g                4751.264886323003    All      -0.0002342880845248559     -2.5464328823470367e-05    -0.0006322567803033779    3.9806051074860844e-05     
Lambda        AB|PS|PS_z                8398.926924783074    All      0.000355231130179866       -9.850426835325298e-05     -9.861155283509989e-05    -0.000152197127450009      
Lambda        AB|PS|PS_r                6033.783861657485    All      -0.00017082027610052167    -3.3082733421626987e-06    -0.0007864009348827278    1.9470708364633638e-05     
MWEBV         All|All|All               All                  All      -0.705285108292669         -4.016343394316202         0.010443464385328245      -1.0780545704894928        
Redshift      All|All|All               All                  All      5.143880399341761          0.9738711267605282         9.87922368619491          -0.9174448298281854        
