#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7308.219033471265    All      0.7635681671197282        -0.1580132143156554        0.576793238106893         -0.27444974195919847       
Zeropoint     AB|PS|PS_g                4751.264886323003    All      -1.1336180268074323       1.1947067570695857         0.03061403147377184       0.7597781453384119         
Zeropoint     AB|PS|PS_z                8398.926924783074    All      0.2463873878641881        -0.0727714763077536        -0.11051663079542917      -0.10889239172342524       
Zeropoint     AB|PS|PS_r                6033.783861657485    All      1.1152529091694023        0.03380839548983161        -0.5329500024184447       -0.3760451674302598        
Check         All|All|All               All                  All      0.9915904373458865        0.9977304619360083         -0.03605936363320905      0.00039084422552843057     
Lambda        AB|PS|PS_i                7308.219033471265    All      -8.554524154509298e-05    -2.3150123084755584e-05    -0.0014917603039293038    -4.6246268136148936e-05    
Lambda        AB|PS|PS_g                4751.264886323003    All      -0.0003244034629758782    7.940249408974873e-05      -0.0005326701266831099    0.00010776226374919898     
Lambda        AB|PS|PS_z                8398.926924783074    All      0.0003527586433413687     -9.860272598238479e-05     -6.018865675214966e-05    -0.00014970919065107426    
Lambda        AB|PS|PS_r                6033.783861657485    All      -7.423301482935773e-05    -1.2358521042593322e-05    -0.0007502239124803779    -1.33244893234682e-05      
MWEBV         All|All|All               All                  All      -0.707510373016563        -4.017448273605861         0.0004917871763848725     -1.0781337217414115        
Redshift      All|All|All               All                  All      4.690314948870627         0.6276865852051117         7.614230739519765         -0.9835435675411425        
