#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3681.585091075477    All      -1.3333711662078196        0.37175091375374336        -2.1088484736927775        0.46130613650346985       
Zeropoint     AB|SDSS|SDSS_r            4810.731128647107    All      1.4587332187886728         0.5197528062723222         5.0451334916266894         -0.08071567562328802      
Zeropoint     AB|SDSS|SDSS_i            5833.852323652317    All      0.719474491684387          0.08074147206631466        -3.600140447864859         -0.3687140915229831       
Zeropoint     AB|SDSS|SDSS_z            6935.964110753141    All      0.15153193441194335        0.026274581520091544       0.6492463499462867         -0.011827557963912222     
Check         All|All|All               All                  All      0.9963684786771838         0.9985197736124718         -0.014609079984660434      4.8811393286491214e-05    
Lambda        AB|SDSS|SDSS_g            3681.585091075477    All      -0.0022330130341918593     0.0004902309877586178      -0.006518812959207016      0.0005961454874720247     
Lambda        AB|SDSS|SDSS_r            4810.731128647107    All      -0.00011013233569075942    -3.788799767686009e-05     -0.00048775611535847873    1.7660424136116365e-06    
Lambda        AB|SDSS|SDSS_i            5833.852323652317    All      -7.730144515264722e-05     -9.880835410947397e-06     0.00031058548985962524     3.5821114609924586e-05    
Lambda        AB|SDSS|SDSS_z            6935.964110753141    All      -6.540049163761677e-05     -1.1607194052220816e-05    -0.00028573386584566495    4.771256665973892e-06     
MWEBV         All|All|All               All                  All      -0.5815538606971158        -2.906209185555042         0.14373644692242277        -0.7508024207262393       
Redshift      All|All|All               All                  All      5.038305134992193          -0.6393794332300473        13.645114539011507         -1.2404898620122684       
