#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3681.585091075477    All      -1.1672963585588172        0.38927694730048756        -0.4596387896984244        0.48651556731942047       
Zeropoint     AB|SDSS|SDSS_r            4810.731128647107    All      1.3163768702645997         0.5228874912818426         3.285773954220139          -0.11183659519693745      
Zeropoint     AB|SDSS|SDSS_i            5833.852323652317    All      0.7486148966173706         0.07381492222791053        -3.043714875156811         -0.35563156751985125      
Zeropoint     AB|SDSS|SDSS_z            6935.964110753141    All      0.10019002759916462        0.0125973118128897         0.21501472868783456        -0.018936709431935372     
Check         All|All|All               All                  All      0.9978854359223176         0.9985766726231304         -0.0025649819472617352     0.00011069517069639545    
Lambda        AB|SDSS|SDSS_g            3681.585091075477    All      -0.001695831607412184      0.00030515180565087114     -0.0056055256141604596     0.00040163726512152184    
Lambda        AB|SDSS|SDSS_r            4810.731128647107    All      -0.0003135884425732192     -0.00013634445047266492    -0.0012901415606728645     1.6110693432306174e-07    
Lambda        AB|SDSS|SDSS_i            5833.852323652317    All      -0.00017980039644115956    -1.8642353880007643e-05    0.00045121593100974134     7.263017104543534e-05     
Lambda        AB|SDSS|SDSS_z            6935.964110753141    All      -5.776220885089583e-05     -9.591246681548615e-06     -0.00021707389755462077    6.003856092626764e-06     
MWEBV         All|All|All               All                  All      -0.6179881749013929        -2.8962608496911457        0.1875190128017845         -0.7337402508260288       
Redshift      All|All|All               All                  All      5.3254005998366205         0.30812604086349893        18.786040006856886         -0.7959567029425824       
