#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5611.824340332267     All      1.0435700652424982         0.061318180120117916       -1.3367432338684848       -0.37960446519946667       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    6809.816690000288     All      0.7842679180443812         0.014156598713910284       0.9733359833160954        -0.2074150780508684        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    3953.8630716888824    All      -0.615406218165442         0.3006988375441111         0.11457536895444731       0.30351852809651875        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    4954.9200213708       All      0.3381775989552612         0.2377154946284321         0.18904823727397982       -0.024287457921919844      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4257.124058028064     All      -0.5511800932463091        0.3837493955009208         0.07017601457724211       0.30766892597534595        
Check         All|All|All                      All                   All      0.9994292708303896         0.9976385065074922         0.010392370253279812      -0.0001195471003902493     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5611.824340332267     All      -0.00014092892515510285    -4.599502392240801e-05     -0.0006924568380073123    2.192652302705534e-08      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    6809.816690000288     All      -0.000553324353318912      -1.1359414188528245e-05    -0.0007677787194757601    0.00014227337282156504     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    3953.8630716888824    All      -0.0005036117199548324     0.000212545685898471       -9.952251780880178e-05    0.0002288347950858298      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    4954.9200213708       All      -7.230474400682032e-05     -4.30544709545608e-05      -0.0006322452506580028    -1.8686425500940353e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4257.124058028064     All      -0.0002828303139554223     8.087545946008805e-05      -0.0007950266011175028    8.299255018319625e-05      
MWEBV         All|All|All                      All                   All      -0.7237622910684176        -3.5920675087171006        0.05753073391598206       -0.9317340414013661        
Redshift      All|All|All                      All                   All      5.438696344825007          0.8292846473157311         3.429932777601091         -1.3483748882664255        
