#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5611.824340332267     All      0.9220979349286877         0.016165943073609412      -1.4849970932805046        -0.3613604539526083        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    6809.816690000288     All      1.0935998300449952         -0.0444146203040674       1.3056086270984313         -0.31242542945816854       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    3953.8630716888824    All      -0.5968401762570688        0.3235205736398683        -0.00434040192284213       0.2995980830076572         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    4954.9200213708       All      0.17451932631820882        0.28900750168610045       0.27671236035045066        0.04964096701495224        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4257.124058028064     All      -0.5956622460744865        0.4133504507843           -0.08680813479302607       0.32479478253815697        
Check         All|All|All                      All                   All      0.9977146689603364         0.9976298488798108        0.006175357452509189       0.0002479491499896014      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5611.824340332267     All      0.00010153826341879142     -7.77523897266783e-05     -0.0013231296733034444     -0.00011744606462151192    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    6809.816690000288     All      -0.0005798531867542534     4.90439181653372e-06      -0.0009117647739991469     0.00014978690701397524     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    3953.8630716888824    All      -0.0007161031899099394     0.00036734059196446775    1.5178589604947647e-05     0.0003535906347395065      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    4954.9200213708       All      -4.714857676486471e-05     3.8016176558386126e-05    -0.0006261816321189899     -2.0264829871361284e-07    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4257.124058028064     All      -0.00039671648020969577    0.00026822203174660516    -0.00016042289211632376    0.00020943341229197543     
MWEBV         All|All|All                      All                   All      -0.7009466287362032        -3.605744651826548        0.048991600994607865       -0.9440020109948155        
Redshift      All|All|All                      All                   All      5.320327699385736          -0.4774025680141847       5.507576176306483          -1.6427336583862973        
