#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6403.101965539359     All      0.7492408021418272         -0.10857463250539823      0.08359215168608869       -0.27568837454926104      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5267.595842057737     All      -0.08810261045885798       0.3533996112602189        -0.45143572395490084      0.1236662956147412        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6252.631006136769     All      0.8956593389472367         -0.1598027811573033       0.05329900620945598       -0.34142024633675716      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5270.204304779169     All      0.04594074113160823        0.42857536748170943       0.2778785907116444        0.13703713136078063       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4275.7782690333315    All      -0.9359737900072447        0.5881428328703642        -0.054710071750343925     0.49401346679081815       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7731.3000038005475    All      0.3283454651406591         -0.10397685805223489      0.09056650062690687       -0.1367800366798071       
Check         All|All|All                                      All                   All      0.9951099468952287         0.9977635398973561        -0.0008095464711488226    0.0008282362005146426     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6403.101965539359     All      -0.00020933933893931534    2.269127335677302e-05     -0.0002285335336370998    6.538160201557189e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5267.595842057737     All      -8.137497328945707e-05     5.261932843703481e-05     -0.0005797708653867229    1.7773841422967703e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6252.631006136769     All      -0.00029641730001485204    2.616462609131225e-05     -0.0004150193950875632    8.655513647529905e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5270.204304779169     All      -0.0001419877893955485     7.420492270848957e-05     -0.0010507957096584618    2.3528892469325332e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4275.7782690333315    All      -0.00039628798827457133    0.00019347210242346758    -0.0003096700794874206    0.0001782851106867304     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7731.3000038005475    All      -5.856593866790014e-05     2.635116271876375e-05     5.71329787546363e-05      3.0209876050830316e-05    
MWEBV         All|All|All                                      All                   All      -0.8300996683385122        -3.9763514988041315       0.004132754951456895      -1.0246533039209347       
Redshift      All|All|All                                      All                   All      6.598704201227398          -0.5004282582971697       6.676479759226394         -2.014480368895945        
