#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6403.101965539359     All      0.7118201950624657         -0.12283083833199981      -0.09884343294842557       -0.2762842292209772       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5267.595842057737     All      -0.15548428271030185       0.3473989381016729        -0.545017560274208         0.13948397884508412       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6252.631006136769     All      0.9457253534643635         -0.1933106823454267       -0.08013801657719144       -0.37459770165500506      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5270.204304779169     All      -0.03805372764004078       0.504506086420875         0.4136327059865663         0.19518810904921025       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4275.7782690333315    All      -0.8327718690365056        0.5962245395270571        0.2679394711508798         0.4774280508505646        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7731.3000038005475    All      0.36110384416437447        -0.1332780613804374       0.03276657201921607        -0.15957422969973267      
Check         All|All|All                                      All                   All      0.9923395133043554         0.9987099819917411        -0.009660260643162832      0.001643978169144078      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6403.101965539359     All      -0.00014367731976935071    1.2805363920444053e-05    -0.00015376578919042936    4.410969725430161e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5267.595842057737     All      -8.270168272427618e-05     8.051677125085281e-05     -0.0007289321099063383     2.0636727986306396e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6252.631006136769     All      -0.0002512954421638186     3.7701538081355274e-05    -0.0003313972031141804     7.93470890614108e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5270.204304779169     All      -0.00015954608861149663    0.00014856355700746792    -0.0009863735574831061     5.634412646377167e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4275.7782690333315    All      -0.0005388266440467741     0.0003093894617807866     -0.00021832923072860854    0.00026654886033151184    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7731.3000038005475    All      -5.844952610438802e-05     2.5224961011339935e-05    3.3226603418548686e-05     2.873828396875216e-05     
MWEBV         All|All|All                                      All                   All      -0.8078619698839873        -3.986489245910363        0.02044874966083965        -1.0344709437533683       
Redshift      All|All|All                                      All                   All      6.343188533801672          -1.479516634924316        5.13603392520342           -2.3189148276785407       
