#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                5754.989226487453    All      1.117178563605838          0.08398932581599183        -0.10330610777141147       -0.3411538027864917       
Zeropoint     AB|PS|PS_r                4134.380669074526    All      -0.7028517759648449        0.35911904030818675        -0.9077800039955564        0.30540878036665814       
Zeropoint     AB|PS|PS_g                3255.59187237282     All      -0.49107315912088645       0.12265523698857805        0.04331268036331104        0.20184437567401894       
Zeropoint     AB|PS|PS_i                5007.630400775747    All      1.0681184045980658         0.43269795710685344        0.9668097707083045         -0.16383306478963341      
Check         All|All|All               All                  All      0.9913720331181723         0.9984615602196101         -0.0009636606953522531     0.0022662884645519576     
Lambda        AB|PS|PS_z                5754.989226487453    All      -0.00024266341820523846    -2.7139506728951292e-05    -0.00025261999155353263    5.892995851252547e-05     
Lambda        AB|PS|PS_r                4134.380669074526    All      -0.0003235586478707276     0.00018503983845484517     -0.0004982271507478642     0.00014343366992609623    
Lambda        AB|PS|PS_g                3255.59187237282     All      -0.0010875195077069742     0.00022499151774920304     -0.0006070000570524105     0.00040044039662540625    
Lambda        AB|PS|PS_i                5007.630400775747    All      -0.0001514905931965825     -5.822771694610577e-05     -0.0010087594580334947     -1.46375144951505e-05     
MWEBV         All|All|All               All                  All      -0.39902674204733457       -2.3048763736907674        0.07489202751024826        -0.617455838395612        
Redshift      All|All|All               All                  All      7.219466787038854          0.906838387762221          3.1671495825336846         -1.9148954092734587       
