#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3808.536301112563    All      -1.4152044177121033        1.186953611628283          -0.6126316808827192        0.8202695404102456         
Zeropoint     AB|SDSS|SDSS_z            7175.135286986008    All      0.11337342242569774        -0.04167102625096675       0.14985106875526344        -0.04381591278735941       
Zeropoint     AB|SDSS|SDSS_r            4976.618408945284    All      1.1909023779962813         0.010453796276266303       1.5942629879443782         -0.31336630370411567       
Zeropoint     AB|SDSS|SDSS_i            6035.019645157569    All      1.097052617417683          -0.16575079083516187       -1.263875862826999         -0.4677375900521641        
Check         All|All|All               All                  All      0.9861240001275586         0.9899855908184207         -0.1323934870100767        -0.004650266133393588      
Lambda        AB|SDSS|SDSS_g            3808.536301112563    All      -0.0015434785919614623     0.0013474032997379212      0.0017533791619995043      0.001019900598336585       
Lambda        AB|SDSS|SDSS_z            7175.135286986008    All      -1.810408743727809e-05     -3.478134719580778e-05     -0.00010874528543058047    -1.0285134808638183e-05    
Lambda        AB|SDSS|SDSS_r            4976.618408945284    All      0.00014386379950905286     -0.00024177404071857293    -0.0021897238658244726     -0.00022333225076403212    
Lambda        AB|SDSS|SDSS_i            6035.019645157569    All      -0.00011411159644473726    0.00024054668711437154     0.0003056492170974388      0.0001291635916291394      
MWEBV         All|All|All               All                  All      -0.5670323055195867        -3.1200441803282075        -0.2671612523008071        -0.8435221388839842        
Redshift      All|All|All               All                  All      4.884381520588558          -1.2301647632398272        5.791202896062885          -1.7332741000220753        
