#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3808.536301112563    All      -1.017671705161519         0.5866095548974215         -0.5973369072777873        0.49591078298432695        
Zeropoint     AB|SDSS|SDSS_z            7175.135286986008    All      0.14535559919042618        -0.03124162536174424       0.11802495140820195        -0.05225661440040612       
Zeropoint     AB|SDSS|SDSS_r            4976.618408945284    All      0.5792201179088771         0.2713357460049082         1.4729839859841247         -0.03455555890037257       
Zeropoint     AB|SDSS|SDSS_i            6035.019645157569    All      1.2912898575963487         0.1474975375099774         -1.0399509637207243        -0.41897902349058974       
Check         All|All|All               All                  All      0.9981938695341328         0.9742012130505628         -0.04627893360618485       -0.009880413807041466      
Lambda        AB|SDSS|SDSS_g            3808.536301112563    All      -0.0018410310549899327     0.0010496705099623854      -0.0011519657160682995     0.0008901896618407039      
Lambda        AB|SDSS|SDSS_z            7175.135286986008    All      -2.4058023795245795e-05    -4.1655055292775506e-05    -0.00013090701835327442    -1.1573711078804011e-05    
Lambda        AB|SDSS|SDSS_r            4976.618408945284    All      0.00020762886277177827     0.00027704442175027164     -9.621318386247857e-05     1.8317378758740654e-05     
Lambda        AB|SDSS|SDSS_i            6035.019645157569    All      0.00015518845920372738     0.00012765960481930975     4.8020158140802446e-05     -6.824134436197947e-06     
MWEBV         All|All|All               All                  All      -0.5186705987411844        -3.0990875843162513        0.029420850813232702       -0.8392137879523304        
Redshift      All|All|All               All                  All      4.817155484021625          -2.3298162991629567        2.0358247872226802         -2.237154328122174         
