#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4815.9951233167785    All      1.0230924630390734         0.6076632536595739        3.5540483011136548        0.02328189181533269       
Zeropoint     AB|SDSS|SDSS_g            3685.6135524001934    All      -1.082779906934046         0.34349756414133736       -1.4622405482763945       0.3993324156226441        
Zeropoint     AB|SDSS|SDSS_z            6943.553576290015     All      0.1653560078556105         0.029868759346740603      0.6584830519356988        -0.014747579932794519     
Zeropoint     AB|SDSS|SDSS_i            5840.235837241859     All      0.8995901237770272         0.01849915204523711       -2.7040230444398183       -0.4076684458697216       
Check         All|All|All               All                   All      1.005258687737665          0.9995287291928889        0.04626776033314073       0.00019828163546065092    
Lambda        AB|SDSS|SDSS_r            4815.9951233167785    All      -0.00032637205451960027    -2.805393030088563e-05    -0.0020874651206697096    4.018046477838561e-06     
Lambda        AB|SDSS|SDSS_g            3685.6135524001934    All      -0.0020366716419178534     0.0007293550363419547     -0.002403737623011641     0.0007937181185365516     
Lambda        AB|SDSS|SDSS_z            6943.553576290015     All      -0.00015839436907468096    -3.570743147715521e-05    -0.0007900317800463955    4.7076819971236385e-06    
Lambda        AB|SDSS|SDSS_i            5840.235837241859     All      -6.7470842738886385e-06    -7.592510815800278e-06    3.771948715899417e-05     1.4078642341597923e-06    
MWEBV         All|All|All               All                   All      -0.5398155133995188        -2.929052567078294        0.00122958235571069       -0.7781982413342159       
Redshift      All|All|All               All                   All      6.648212318861999          -0.5416364315475874       18.16215191364594         -1.5314768528469358       
