#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4815.9951233167785    All      1.0278051911276762         0.5275160138362267        2.212964341741465          -0.06420620927455012      
Zeropoint     AB|SDSS|SDSS_g            3685.6135524001934    All      -1.1855190439541392        0.37295497146558887       -0.9642996310343654        0.46461399542932247       
Zeropoint     AB|SDSS|SDSS_z            6943.553576290015     All      0.14739093965936392        0.019680643765340733      0.3451112387597531         -0.026198715369360588     
Zeropoint     AB|SDSS|SDSS_i            5840.235837241859     All      1.0087835703135404         0.07902009458078396       -1.580207204784635         -0.3733719422763034       
Check         All|All|All               All                   All      0.9984606571464414         0.9991717236479403        0.01356874468221747        0.0008371285091083869     
Lambda        AB|SDSS|SDSS_r            4815.9951233167785    All      -9.693708341214927e-05     -4.77336768079925e-05     -0.0008554611255448145     -2.214813276725825e-05    
Lambda        AB|SDSS|SDSS_g            3685.6135524001934    All      -0.0021182438666153955     0.0005209365920018853     -0.003358915667608541      0.0007097749225260296     
Lambda        AB|SDSS|SDSS_z            6943.553576290015     All      -7.753616910353847e-05     -9.851288697683789e-06    -0.00018143275895249526    1.3950681573082355e-05    
Lambda        AB|SDSS|SDSS_i            5840.235837241859     All      -0.00013932407966804465    -6.103579211237564e-07    0.0004495045837628845      6.524294779232445e-05     
MWEBV         All|All|All               All                   All      -0.5574939860325898        -2.914112959248172        0.10248873257175505        -0.7630547286166944       
Redshift      All|All|All               All                   All      4.861803930542756          -0.7498212377845093       3.8221772769028792         -1.6573247170656582       
