#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3012.9107979594387    All      -0.27506905412531907       0.016774879546588295       0.04063410660979094       0.09687648412946212        
Zeropoint     AB|MEGACAMPSF|i           4711.1821247928565    All      2.3889198549827997         0.6680326663976999         0.9614832619502522        -0.5176429907810799        
Zeropoint     AB|MEGACAMPSF|z           5428.980868944362     All      0.31571121577246564        0.035455894886382566       0.054952348148418206      -0.08883610722793152       
Zeropoint     AB|MEGACAMPSF|r           3849.5128393144437    All      -1.4398476513683522        0.279011487257641          -1.0533478745526903       0.512882892446995          
Check         All|All|All               All                   All      0.989714365261594          0.9992749280883118         0.0037218421557709824     0.003280278567445727       
Lambda        AB|MEGACAMPSF|g           3012.9107979594387    All      -0.000942431535903703      5.736336059462906e-05      2.4529500941390577e-05    0.00032676072903169465     
Lambda        AB|MEGACAMPSF|i           4711.1821247928565    All      -0.00020973026013846523    -9.462276137421494e-05     -0.0011013825185578806    -1.1655344064553545e-05    
Lambda        AB|MEGACAMPSF|z           5428.980868944362     All      -2.0082529544844672e-05    -3.7920542993610995e-06    -6.407690171749971e-05    2.4468858990834243e-06     
Lambda        AB|MEGACAMPSF|r           3849.5128393144437    All      -0.0017201093701206573     0.00027132242125031095     -0.0018650910738806903    0.0005654444020356071      
MWEBV         All|All|All               All                   All      -0.4018944088300034        -2.0594549066844436        0.20622174325903297       -0.5307192570123624        
Redshift      All|All|All               All                   All      2.955474522263223          -0.2927432255550144        0.6017267281096278        -1.0311990834095175        
