#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4568.448289722593    All      -2.3886578542892187        1.1257037740316278         -0.501931687852919        1.1223442954674256         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5470.721344013725    All      3.3852527812167645         -0.12357384890329115       0.4972510044229883        -1.1207502418612725        
Check         All|All|All                            All                  All      0.9965949269275459         1.0021299251283367         -0.0046806834299306654    0.0015940536061531674      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4568.448289722593    All      -0.00011997266005611841    -0.00018572478859669425    -0.0026512570290645548    -0.00013973105587049506    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5470.721344013725    All      0.0004941719063158222      -2.0469146476114495e-05    0.00023685299464829202    -0.00015706586075736828    
MWEBV         All|All|All                            All                  All      -0.19061578687709524       -2.507628111309934         -0.019049097132473047     -0.7555772152247517        
Redshift      All|All|All                            All                  All      -4.352430565463985         1.0859970203426883         -3.8443374664213548       1.5999196589273446         
