#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4568.448289722593    All      -2.3987152310264226       1.1276124353793548         -0.5543742460536955       1.1239017572301047         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5470.721344013725    All      3.3957113007732587        -0.12541946203814547       0.552676665188667         -1.1222847099936668        
Check         All|All|All                            All                  All      0.9969960697468362        1.0021929733412094         -0.0016975808650284696    0.0016170472364378519      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4568.448289722593    All      -0.0001253061507578332    -0.00018198852510581618    -0.0026912726221782093    -0.00013856245067960838    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5470.721344013725    All      0.0004928139269701768     -2.2828531942475317e-05    0.00015464745317209788    -0.00016106050743585495    
MWEBV         All|All|All                            All                  All      -0.19076827961197118      -2.5075410833354184        -0.017778553773400544     -0.7554424969349849        
Redshift      All|All|All                            All                  All      -4.19997179938604         1.1048512734065596         -2.9750635285159905       1.5951919769986673         
