#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5482.137947667111    All      -2.0578146430216058       2.3400716107850883        -0.9572011583167672        1.3898207475952107        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6564.865612816469    All      3.054462081124361         -1.3352124903970974       0.9489918583126977         -1.3875122758738172       
Check         All|All|All                            All                  All      0.9966474381027554        1.0048591203879909        -0.008209300004069497      0.002308471721393479      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5482.137947667111    All      -0.0005636811682908458    0.0002971030469547499     -0.00251517298172933       0.0001681451194621099     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6564.865612816469    All      -0.0005236707726643474    0.00023789599363970243    -0.00036177138495517455    0.00023192315523296123    
MWEBV         All|All|All                            All                  All      -0.5597775819806707       -3.20152813322796         0.007802789717215042       -0.8601568628847006       
Redshift      All|All|All                            All                  All      11.508255896289338        -3.532206494445944        9.193862885408176          -4.488893542486763        
