#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5482.137947667111    All      -1.9989758110322953       2.290759566611378         -0.5620003565001607       1.3722284458642187       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6564.865612816469    All      2.9961114366817068        -1.2856364878945925       0.5636644389654648        -1.3695524092632023      
Check         All|All|All                            All                  All      0.9971356256494118        1.0051230787167853        0.0016640824653041397     0.0026760366010163406    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5482.137947667111    All      -0.0003088102354595376    2.6704358254791844e-05    -0.001920324994842235     2.359285648890657e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6564.865612816469    All      -0.000978476648496545     0.00043249459313688353    -0.0002257414266837715    0.0004495259498950332    
MWEBV         All|All|All                            All                  All      -0.5647219402677424       -3.1984915571376504       0.008868139801073238      -0.8575096683117789      
Redshift      All|All|All                            All                  All      11.637299231302164        -2.7385358544448124       4.5492134259068004        -4.479671936937376       
