#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7816.410892754818     All      0.38374647435617365        -0.07861079066406873      0.0992235433541665         -0.146177081296652         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6321.463800488784     All      1.2095855587556736         -0.12633075670756         0.05784571228800455        -0.4325705058240316        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4348.379629358569     All      -0.019372711260310857      0.007160522064530994      -0.04036554998057559       0.006841417907981432       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5328.221943873485     All      0.5084764184575857         0.44987673147476315       0.2177764979024571         -0.00936948103263386       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6264.562807034997     All      0.015240156358309623       -0.00677121799226299      -0.1008431202818993        -0.0116699940811703        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5295.341718317824     All      -0.018382727144125227      0.006994905950907793      -0.13849692922187132       0.002085848140598257       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4322.8486568426115    All      -1.0919296364232065        0.7482818037620298        -0.08482417949446236       0.5956320936789886         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8090.412239075753     All      0.010952564070476763       -0.002701117427417188     -0.009118795614950702      -0.00485438322382482       
Check         All|All|All                       All                   All      0.9983160971705769         0.9979000804609228        0.001197178950868889       -8.208573074431832e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7816.410892754818     All      -2.991083404071755e-05     1.318448506486213e-05     5.720395387143226e-05      1.6590312959598014e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6321.463800488784     All      -0.00035278492732133027    4.75351872947021e-06      -0.0003750079188369841     9.972715347561357e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4348.379629358569     All      1.5219420386195186e-06     -5.551657605233685e-07    3.298386452829819e-06      -5.293905065489258e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5328.221943873485     All      6.300325880131295e-05      3.3439849032541134e-05    -0.0009459813658800606     -5.1844578792944664e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6264.562807034997     All      -9.326399488216406e-07     4.0363599668065346e-07    6.054660498173807e-06      7.054607276065491e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5295.341718317824     All      -1.364892267682041e-07     5.745175206133676e-08     -1.5502316293936707e-06    -6.006760390029987e-09     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4322.8486568426115    All      -0.00045585315621316175    0.00017129631283594336    -0.0007361733726817141     0.00017143117817319554     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8090.412239075753     All      -4.162662834572543e-06     9.99575819752402e-07      3.275965566148861e-06      1.8277022595724233e-06     
MWEBV         All|All|All                       All                   All      -0.8327141570373926        -4.027038951603057        0.020198796334461495       -1.039595296243597         
Redshift      All|All|All                       All                   All      3.7659371358300033         -0.2051936599293036       -0.9488663150092512        -1.3358714921549104        
