#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_I
@MAGSYS  Linear_AB11_off
53078.32  17.981  0.058
53084.27  16.334  0.018
53086.3  16.116  0.029
53088.3  16.061  0.118
53092.27  16.139  0.022
53094.27  16.212  0.035
53096.23  16.262  0.027
53098.27  16.402  0.022
53100.36  16.607  0.035
53102.2  16.691  0.126
53104.21  16.856  0.026
53107.23  16.928  0.046
53109.26  16.959  0.061
53111.24  16.858  0.053
53119.21  16.678  0.021
53127.23  16.936  0.039
53131.16  17.175  0.045
53135.18  17.305  0.07
53139.19  17.539  0.054
53147.19  17.975  0.095
53151.19  18.124  0.087
53155.19  18.289  0.097
53159.19  18.468  0.187
