#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7816.410892754818     All      0.3878069465571969         -0.08074285764836375       0.06879241505127545        -0.14955219652883905       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6321.463800488784     All      1.2163654729073883         -0.11582887033885214       0.10893391343191408        -0.42907830524627627       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4348.379629358569     All      -0.01823786981142716       0.006752452121272512       -0.03642021182130792       0.006514903229049018       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5328.221943873485     All      0.5249604668521146         0.4354451338897114         0.19726184032714533        -0.02035519896989718       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6264.562807034997     All      0.016556538606113856       -0.00674313998318965       -0.09596740773848943       -0.011872056498200834      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5295.341718317824     All      -0.015584689981084223      0.006327939351802314       -0.12780183433064932       0.001434455384230482       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4322.8486568426115    All      -1.1237618098196014        0.7555979350551745         -0.09325847511325036       0.6080076005811924         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8090.412239075753     All      0.012639576589257382       -0.0029442408833624256     -0.008034035209400492      -0.005434684135605106      
Check         All|All|All                       All                   All      1.0007446318999584         0.9978643515641927         0.013506204597237365       -0.0003354821843466471     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7816.410892754818     All      -3.5036745013845424e-05    1.2881857045481699e-05     4.5964315912483316e-05     1.765984147861151e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6321.463800488784     All      -0.0003872284939047538     1.0473121639335131e-05     -0.00034165681527589445    0.00011429792568445973     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4348.379629358569     All      4.991213720655752e-06      -1.8066264285304238e-06    9.43620783906206e-06       -1.793185561965692e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5328.221943873485     All      3.331026032676575e-05      -1.6150141754302408e-05    -0.001027150035682358      -6.194786871972353e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6264.562807034997     All      -1.1299328974376354e-06    5.570960326332093e-07      1.179772643380418e-05      1.075999169870364e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5295.341718317824     All      4.4036412580936285e-06     -1.647610071963883e-06     1.1483936486646238e-05     -1.4586162968687222e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4322.8486568426115    All      -0.00036260939674708973    8.94139225330267e-05       -0.0007810698271194722     0.00011238330715464129     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8090.412239075753     All      -4.24947029758154e-06      8.849686350553838e-07      2.0833679437741243e-06     1.7654268211511332e-06     
MWEBV         All|All|All                       All                   All      -0.8373363905477014        -4.022796669226292         0.032645784735165634       -1.0361523798598935        
Redshift      All|All|All                       All                   All      3.882121292463987          0.29730966667456116        -1.0638574497927156        -1.2151661551827453        
