#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5300.562831227754    All      0.31445008642643957       0.4866924769182823         -0.00664846775703164       0.05580832260883695        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4286.07443060183     All      -1.0682680213973827       0.7170370047311359         -0.10019313691781409       0.5770614222706117         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6107.914140836245    All      1.2487742848891434        -0.09188768348566967       0.015335209650283874       -0.4360133695937213        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7441.411352457923    All      0.5022449165858619        -0.11334754781540113       0.09233583576170243        -0.1963981937791237        
Check         All|All|All                                All                  All      0.9972012665040623        0.9984942503483474         0.0008294407371405715      0.0004581815066037054      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5300.562831227754    All      1.499288267157746e-05     7.730539632190867e-05      -0.0008463648932973205     -1.7472142257785573e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4286.07443060183     All      -0.0004946119715085787    0.00022611321025067248     -0.0004897122165126924     0.00021291029579707243     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6107.914140836245    All      -0.0003141489175115905    -1.4212896348281368e-06    -0.0005832608447247689     7.583742415292151e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7441.411352457923    All      -0.0001895940685459147    1.335647020075599e-05      -0.00039746504511942865    4.8370627871436144e-05     
MWEBV         All|All|All                                All                  All      -0.849634279498324        -3.9764240703749287        0.001142301639996795       -1.0184473275413437        
Redshift      All|All|All                                All                  All      7.774286446107665         -0.5234759902163155        5.116684227286539          -2.4745200968031678        
