#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5300.562831227754    All      0.344499430405523          0.45774989769578056       -0.002985920400178088      0.03675615511251895        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4286.07443060183     All      -1.1091495310420951        0.7357695033481271        -0.11846050107842121       0.5956644774405467         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6107.914140836245    All      1.2435253155193369         -0.08779580198092773      -0.007397834759603761      -0.4339852185219317        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7441.411352457923    All      0.5185657886104673         -0.10719527007649887      0.130181092874726          -0.1980215794668172        
Check         All|All|All                                All                  All      0.9974410034932322         0.998528328986481         0.0013368366365229534      0.0004138345643167618      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5300.562831227754    All      1.8290277986444616e-06     3.765668591717312e-05     -0.0009455708377844146     -3.0526236696396145e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4286.07443060183     All      -0.0004935074053426026     0.00017620074062757451    -0.0007385025356720759     0.00018518999953846994     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6107.914140836245    All      -0.0002806315768600236     1.6837121517654763e-05    -0.00018997612690129482    8.841757947628696e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7441.411352457923    All      -0.00016147225375816017    1.6429480506808098e-05    -0.00024122363542099383    4.7183744694557686e-05     
MWEBV         All|All|All                                All                  All      -0.8522872801173214        -3.9733987616642708       0.019304315897894497       -1.0157872281006313        
Redshift      All|All|All                                All                  All      7.891440076694469          -0.15923786974765264      5.4825213771171555         -2.3777109178426943        
