#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4312.113880793869    All      -2.1191605798570907       0.9045481509675213        -0.19244502642296107      0.976333473030836          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5394.681329314365    All      3.1189569023645154        0.09650236890639263       0.19296262223183983       -0.975901841762984         
Check         All|All|All                           All                  All      0.9997963225074248        1.001050519873914         0.0005175958088787513     0.0004316312678519507      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4312.113880793869    All      0.00011199305921906103    -3.96106688292144e-05     5.2288354336783e-05       -4.704893273750364e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5394.681329314365    All      -0.0001932010542129728    2.0938898305949058e-05    -0.0019211772947413056    -1.5980891485549525e-05    
MWEBV         All|All|All                           All                  All      -0.957013363092102        -4.006160530429881        -0.0069431309631952974    -0.9935173864103377        
Redshift      All|All|All                           All                  All      2.0784051744861545        -0.3647813787369891       0.7105358382520518        -0.7641182877467793        
