#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6111.377394425281     All      1.184505199789069         -0.1263576889055429        -0.04061961660344968       -0.42880383588576043       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5420.163844213099     All      0.6349278112481269        0.24794491007673614        -0.00533606311543422       -0.12629118626000171       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4332.482740325064     All      -0.7378245614979988       0.4653582987727667         -0.06544442714423758       0.3889957569224772         
Zeropoint     AB|CNIa02|SDSS_i                      7411.113250723411     All      0.45677475409085766       -0.07721588632128018       0.1432287021538373         -0.16754668020099744       
Zeropoint     AB|CNIa02|SDSS_g                      4676.9514445051145    All      -0.5394731417096105       0.4872772029191452         -0.03145428326243367       0.3330427061308802         
Check         All|All|All                           All                   All      0.9989100619204443        0.997006836541825          0.0003743120282821283      -0.0006032392934021691     
Lambda        AB|CNIa02|SDSS_r                      6111.377394425281     All      -9.015048495538088e-05    -4.1062111472656634e-05    -0.00041588783767629154    -2.5694658889015345e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5420.163844213099     All      6.614370606002003e-05     -3.362240021573389e-05     -0.0005388601027286065     -5.6543954511261566e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4332.482740325064     All      -0.0002864491563912076    7.847868280811993e-05      -0.0005890949478879722     9.25804010875164e-05       
Lambda        AB|CNIa02|SDSS_i                      7411.113250723411     All      -7.138363570816123e-05    -1.8111338666405337e-05    -0.0002587504592936979     5.805695152612145e-06      
Lambda        AB|CNIa02|SDSS_g                      4676.9514445051145    All      -7.679842989186324e-05    -2.528665105488889e-05     -0.0004515438365104519     -3.3712465032435036e-06    
MWEBV         All|All|All                           All                   All      -0.8854886964597113       -4.0550115978343015        0.021901138550475683       -1.031440535958689         
Redshift      All|All|All                           All                   All      4.219499075593123         0.10584030971045877        0.9704311238657644         -1.2966481113723305        
