#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6111.377394425281     All      1.1508592233578545        -0.17064354598161913       -0.3497140775190921        -0.4460630612246219        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5420.163844213099     All      0.5966258352735008        0.27600432926115914        -0.04798716074068121       -0.1065784192292557        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4332.482740325064     All      -0.7493470030875737       0.527977271954061          0.199733070285113          0.4249797086875229         
Zeropoint     AB|CNIa02|SDSS_i                      7411.113250723411     All      0.47574624884533595       -0.10775035205004002       -0.01196515013577315       -0.19059798907621398       
Zeropoint     AB|CNIa02|SDSS_g                      4676.9514445051145    All      -0.4751870948114494       0.47130393278829175        0.2087554614248477         0.3176190637833698         
Check         All|All|All                           All                   All      0.998697209577668         0.9968916359718527         -0.0011778566855857875     -0.0006406970591988914     
Lambda        AB|CNIa02|SDSS_r                      6111.377394425281     All      1.1241869060811328e-05    -2.7359356747787317e-05    -0.00014658229948939541    -1.9114983986529583e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5420.163844213099     All      6.385014519357996e-05     -2.1136221264985814e-05    -0.0005799123339284777     -5.356167954617825e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4332.482740325064     All      -0.000371464323334351     0.0001245074338242091      -0.0006509834001630872     0.00013250391900202516     
Lambda        AB|CNIa02|SDSS_i                      7411.113250723411     All      -8.623778233350207e-05    -1.0391176227541279e-05    -0.0002115196458331363     1.5266584568997106e-05     
Lambda        AB|CNIa02|SDSS_g                      4676.9514445051145    All      -1.87613867870275e-05     -3.6302015687451364e-05    -0.0004506917257742999     -2.5825861671499338e-05    
MWEBV         All|All|All                           All                   All      -0.8823705512045592       -4.05645931771641          0.02803022018100787        -1.032654275683079         
Redshift      All|All|All                           All                   All      4.0875186459502           -0.22849613927933277       0.7507507387779055         -1.3723654508198568        
