#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5434.234869548883    All      0.6222805110628385         0.19835219128427894       -0.2963497205269343        -0.15131212752141682       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7468.565214458822    All      0.49006341976788564        -0.07986237026278431      0.21455878746549525        -0.17606880656283294       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4668.937520757674    All      -0.6782237592251038        0.5989798179016681        -0.032824156846128646      0.4145624324556523         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6154.68491529353     All      1.2139683005306692         -0.16036800822831765      0.15712637140911798        -0.4406547217836931        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4336.340542515784    All      -0.649398502862194         0.440955734826165         -0.0413847499203551        0.3533174354883617         
Check         All|All|All                      All                  All      0.9986899692740954         0.9980573655210101        0.0011265315811951684      -0.00015578792392884067    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5434.234869548883    All      0.00026495692095130914     5.77078201966256e-05      -0.0012562612135830413     -0.0001235690185718437     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7468.565214458822    All      1.5534361431807566e-05     7.915370082975581e-06     -0.00026980545564405067    -1.4521934453441997e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4668.937520757674    All      -0.0005309037020655576     0.00021231507321073652    -0.0011407132186369582     0.00019118601443746935     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6154.68491529353     All      -0.00016483115968172078    3.322902121734079e-05     -0.00036095813080544697    4.8406813348115736e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4336.340542515784    All      -0.0005471394288632514     0.0003443306903325241     -0.0005502833183554681     0.0002658245291795037      
MWEBV         All|All|All                      All                  All      -0.8598040598170242        -4.062208159490854        0.03290188064256098        -1.0416601114090551        
Redshift      All|All|All                      All                  All      8.44851349706918           -2.1873351887962578       10.695972117308791         -2.987133715242389         
