#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5434.234869548883    All      0.7506948447591975         0.17140324272562069        -0.06456251849957795      -0.19157546158567393      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7468.565214458822    All      0.46137099693256517        0.03543017538536475        0.3047498518744529        -0.1251433523910099       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4668.937520757674    All      -0.7188605973726954        0.46247444054490217        0.017227916489148676      0.3855684894060622        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6154.68491529353     All      1.273845266880075          -0.09165468993392878       0.40665056209097106       -0.42664131264089283      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4336.340542515784    All      -0.7743324027655917        0.4229375451393125         -0.5642399641914597       0.36481077290249975       
Check         All|All|All                      All                  All      0.9927181084335509         1.0005907138612713         0.09982584776353498       0.007019135690985279      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5434.234869548883    All      2.331256361963913e-05      2.0454974475370823e-05     -0.0021604478454387644    -9.734167556005834e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7468.565214458822    All      -0.00011311140294464729    5.1509705693718316e-05     -0.0004962234940268717    3.147833549077661e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4668.937520757674    All      -0.00038602695157572054    -0.00027028752049664597    -0.0006904109384749218    6.890271175247643e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6154.68491529353     All      -0.00035313372153101456    7.961315706192347e-05      -0.0011043098380404894    9.16796191470329e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4336.340542515784    All      -0.0005610152445166116     0.00016859156397140725     -0.000554009056547034     0.0002129340611534447     
MWEBV         All|All|All                      All                  All      -0.8928526015978817        -4.0430456992258           0.00950346150536685       -1.0256974343327958       
Redshift      All|All|All                      All                  All      8.065413711533136          0.542195046049887          11.757008650051691        -1.925898527826113        
