#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4160.279095230264    All      -0.003036739464566951      0.4229936771480425        1.0614533856471418         0.1861399121974814        
Zeropoint     AB|PS|PS_z                5791.039405568476    All      -0.03281253103880365       -0.011214859212138606     -0.44045973882671413       -0.012620622929183976     
Zeropoint     AB|PS|PS_i                5038.999003846047    All      1.885925341909444          0.4895315481476814        -0.16132587669838067       -0.46205063155356374      
Zeropoint     AB|PS|PS_g                3275.985424019031    All      -0.8621556576823267        0.09786303102181648       -0.4625700838774024        0.2920672922517717        
Check         All|All|All               All                  All      0.9879204137237466         0.9991733971054018        -0.00290231375535549       0.0035359499665053584     
Lambda        AB|PS|PS_r                4160.279095230264    All      -0.00011478915773685522    0.00020911126384277353    -0.00025354219949573487    9.419059942954823e-05     
Lambda        AB|PS|PS_z                5791.039405568476    All      3.2770762867304835e-05     1.101239438927403e-05     0.00042866907560166855     1.2042115595895045e-05    
Lambda        AB|PS|PS_i                5038.999003846047    All      -4.351806750836748e-06     9.069239781131524e-06     -0.0010260768346022188     -4.141742013307353e-05    
Lambda        AB|PS|PS_g                3275.985424019031    All      -0.0018071076010350948     0.00020479297102662873    -0.0011415596659746178     0.000604399640984756      
MWEBV         All|All|All               All                  All      -0.6067533071258147        -2.335427396871559        -0.24159056799900983       -0.5738671001829344       
Redshift      All|All|All               All                  All      7.464377112879916          1.0029421066107602        5.404902201028515          -1.8635059950254886       
