#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4160.279095230264    All      0.056997667154948584       0.4200767793529181        1.210932031445644         0.1723051467446328        
Zeropoint     AB|PS|PS_z                5791.039405568476    All      -0.04473310905798995       -0.016331199049091083     -0.6602996907619452       -0.020214706066934082     
Zeropoint     AB|PS|PS_i                5038.999003846047    All      1.9106592703766505         0.4795332171145361        -0.3249525043342971       -0.4806659760116981       
Zeropoint     AB|PS|PS_g                3275.985424019031    All      -0.9345431932720061        0.11553855489268017       -0.2328254951079023       0.33165623952276996       
Check         All|All|All               All                  All      0.988380635201603          0.9988173523110433        -0.007145658758500595     0.0030807041887706        
Lambda        AB|PS|PS_r                4160.279095230264    All      5.0008222035542336e-05     0.00024179569486226647    0.0002068182273462976     7.170083712481007e-05     
Lambda        AB|PS|PS_z                5791.039405568476    All      3.3972886346046044e-05     1.2543527125630937e-05    0.00029936883337718096    6.379208779237359e-06     
Lambda        AB|PS|PS_i                5038.999003846047    All      -5.4936583743894426e-05    4.217253933280492e-06     -0.0012141402227875452    -3.491315076375206e-05    
Lambda        AB|PS|PS_g                3275.985424019031    All      -0.0019401187291948978     0.00016917799572075632    -0.0018353408138110697    0.0006051645060011524     
MWEBV         All|All|All               All                  All      -0.5817451538318921        -2.331796364384431        -0.08821639588330044      -0.5739859468366616       
Redshift      All|All|All               All                  All      7.35074419995637           0.9832290558890122        4.470382909544135         -1.8746165099217629       
