#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          7046.663195792561     All      0.6556858513154097         -0.021866604299702885     0.3660246594266588         -0.20436712614777208       
Zeropoint     AB|DECam|DECam_r          4949.698842716912     All      -0.012268168843460603      0.5776536548610878        0.17382744456739596        0.1999140663225673         
Zeropoint     AB|DECam|DECam_i          6013.265864641558     All      0.9833102382049607         0.05398728868382108       -0.42771247846088517       -0.3217979019772902        
Zeropoint     AB|DECam|DECam_g          3724.1701860648395    All      -0.6333175248134043        0.3896810988130994        -0.11246856189223593       0.3282053520023673         
Check         All|All|All               All                   All      0.9934103958635053         0.9994554380583054        -0.0003289363590664035     0.0019543901998723134      
Lambda        AB|DECam|DECam_z          7046.663195792561     All      -0.00042193253661767794    -5.074892954541967e-06    -0.0006091405662106501     0.00010860110296165373     
Lambda        AB|DECam|DECam_r          4949.698842716912     All      -0.000364139761980057      -6.405396342318332e-05    -0.002502388898155891      -1.3922306348691672e-05    
Lambda        AB|DECam|DECam_i          6013.265864641558     All      -9.323200450440004e-05     -7.699326220460188e-06    -0.00013371628332049476    2.1893663670694486e-05     
Lambda        AB|DECam|DECam_g          3724.1701860648395    All      -0.0010127982938058088     0.0005602779318669214     -0.000335234931591021      0.0004974426840536678      
MWEBV         All|All|All               All                   All      -0.46774579421963347       -2.8695979912260583       0.016723067918782586       -0.7816160054402449        
Redshift      All|All|All               All                   All      8.02512015553755           -0.1166861039035183       10.918154565869788         -2.1648270631651165        
