#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|DECam|DECam_z          7046.663195792561     All      0.5980020899574024        -0.027874424321616686      0.19931081619626312       -0.19497424510101988     
Zeropoint     AB|DECam|DECam_r          4949.698842716912     All      -0.01925052886240275      0.5611689542011078         0.10306594418205695       0.1936610805916783       
Zeropoint     AB|DECam|DECam_i          6013.265864641558     All      1.060260772545695         0.07193979730146793        -0.23510874340870735      -0.33242047983427364     
Zeropoint     AB|DECam|DECam_g          3724.1701860648395    All      -0.6450950953128958       0.39398148550588985        -0.06834417926104841      0.3354115401498443       
Check         All|All|All               All                   All      0.9939172383277988        0.9992158126868489         -0.0010761622914357005    0.0016778958062291238    
Lambda        AB|DECam|DECam_z          7046.663195792561     All      -0.0003956930900019656    -1.086869784444933e-05     -0.0005955757138006186    9.877215614554773e-05    
Lambda        AB|DECam|DECam_r          4949.698842716912     All      -0.0004268109616597276    -8.25337286664108e-05      -0.0027287073057407044    -9.62725338539403e-06    
Lambda        AB|DECam|DECam_i          6013.265864641558     All      -0.0001928362965056863    -2.3427408167159696e-05    -0.0002974086535211291    4.191006606062929e-05    
Lambda        AB|DECam|DECam_g          3724.1701860648395    All      -0.0010250706522777014    0.00048590759943453423     -0.0007424157955718876    0.0004590447191266733    
MWEBV         All|All|All               All                   All      -0.4695232622303913       -2.8652735815851926        0.04217988902281977       -0.7784924021363764      
Redshift      All|All|All               All                   All      7.800198834703558         0.21334418133793775        10.29257462063553         -2.011977827471841       
