#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7790.9710853187635    All      0.1893204343485385         -0.045404868720577696     0.1137388069804901         -0.07138211287061533      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6287.996937901837     All      0.49672848022067256        -0.06287087754861531      0.20668080105192832        -0.173056706197125        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4330.5689154298925    All      -0.4868140645842062        0.26100629227006067       0.10144600165000739        0.24811676191541301       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6191.581139006702     All      0.5129242435502851         -0.10491603295061935      0.44778150029636254        -0.1812684726255058       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5319.271457101446     All      0.20484888743733667        0.20287785052497398       0.24694820476216517        0.010378132618910074      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             8122.249492365184     All      0.10661240253265349        -0.03976623969892401      -0.03206765257748323       -0.04911137154224518      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5316.179857408674     All      0.03371372494619551        0.3210949123032769        -0.8625215248842188        0.05511913304493271       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6289.215008547278     All      0.28106052345940213        0.0010292300915537567     -0.5335310128243176        -0.1150244436888534       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5361.141951436828     All      0.20410804149133838        0.07803032386988207       0.44986905464727833        -0.020992070727941098     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7538.190314902192     All      0.1426391160170745         -0.030442289014942503     0.14926356566760113        -0.04971736043503441      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4365.491299267036     All      -0.1543979920892488        0.08321492920746465       -0.3395024161191529        0.06224791214605521       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4398.245687975415     All      -0.5346158970913517        0.3330612943262423        0.04395704955952873        0.2845926082108305        
Check         All|All|All                                All                   All      0.9961279002386899         0.9969145246597755        -0.007937621789810834      -9.799015117867294e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7790.9710853187635    All      -2.706830114139497e-05     7.208701280746544e-06     2.2965925351208126e-06     1.1267633745750184e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6287.996937901837     All      -0.00011295386814509657    9.618065028346547e-06     -9.626899259023293e-05     3.5629668139603e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4330.5689154298925    All      -0.0002848373426358516     6.747326536717835e-05     -0.00024639641639101104    0.00010376361529559003    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6191.581139006702     All      -9.005735871752477e-05     2.114464617387703e-05     -0.000114223254887961      3.112489217320884e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5319.271457101446     All      5.439916125595149e-05      1.354284866502931e-05     -0.0003813224400870635     -3.032491429408791e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             8122.249492365184     All      -3.7380704707305817e-06    -7.254493847948724e-07    -1.5090324619768592e-05    3.0789791955290295e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5316.179857408674     All      -8.78105524614526e-05      8.528094747374558e-05     -0.0010457507853725645     9.71454147855271e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             6289.215008547278     All      -7.323499176758248e-05     -7.041179330206305e-06    1.934557052214527e-05      2.24248063840098e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5361.141951436828     All      2.347517909484419e-05      5.809612735765824e-06     -4.335611921105016e-05     -7.689040615958385e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7538.190314902192     All      -3.5392244158972516e-05    8.900218701929635e-06     -3.489551657478356e-05     1.287028569711948e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4365.491299267036     All      -0.00015532191419385756    8.762034916445855e-05     -0.00034570726069979465    6.370696046985155e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4398.245687975415     All      -0.0002317322664993598     4.318448274180358e-05     -0.0005633286810422903     6.441065796038099e-05     
MWEBV         All|All|All                                All                   All      -0.8404386917605566        -4.05718779687696         0.04654618509938313        -1.045723868976478        
Redshift      All|All|All                                All                   All      6.242239563423575          -0.9571504284805243       6.413026163596269          -2.058894269541176        
