#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7790.9710853187635    All      0.17624527586320318        -0.048282401379928785      0.14703960301512192        -0.06657434906516621       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6287.996937901837     All      0.5016935845133388         -0.057635628091290414      0.2715281528008869         -0.17007487155404158       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4330.5689154298925    All      -0.41028034605839636       0.24948601560197403        0.17264393242182738        0.22261191544044326        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6191.581139006702     All      0.564340268210302          -0.08824133680747082       0.6231028945027364         -0.18476107767781694       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5319.271457101446     All      0.1818743323488346         0.24626607449249605        0.27311785169028363        0.033162504177599444       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             8122.249492365184     All      0.10333425342086786        -0.03842648807754756       -0.061770511577908346      -0.04893267152592471       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5316.179857408674     All      -0.03383222222756399       0.2555395157088469         -0.8598875817992865        0.05588506163840673        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6289.215008547278     All      0.23544035051597334        -0.05752058284045347       -1.1521573849226683        -0.14684250654424508       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5361.141951436828     All      0.2134800205145017         0.09719146180202642        0.5814834169598145         -0.011930075110417169      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7538.190314902192     All      0.16572133411114925        -0.03501283643876363       0.26756732473135786        -0.053445422495673245      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4365.491299267036     All      -0.16654796724101278       0.09574989273479773        -0.34681574117034586       0.06996224867604989        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4398.245687975415     All      -0.5368317707759094        0.3775679449991465         0.07613832966197101        0.30124777424714855        
Check         All|All|All                                All                   All      0.9946371131952879         0.996681631703833          -0.008009713686209313      0.0003085302063629558      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7790.9710853187635    All      -1.4414142905673927e-05    5.867988153289818e-06      2.5759082839971596e-05     7.756066908156306e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6287.996937901837     All      -0.00015168195852471996    1.3316924152316892e-05     -0.0002849473524578446     4.1029672765573987e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4330.5689154298925    All      -0.00021400998665216584    7.880026012771992e-05      -0.00011288589606644743    9.034035147191613e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6191.581139006702     All      -0.00013505394264486974    3.2071262389755985e-05     -0.00029017279209899685    4.1489098539759986e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5319.271457101446     All      -2.1722635627531684e-05    5.140015219234196e-05      -0.0005663158453521864     -1.4535775222722808e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             8122.249492365184     All      -3.143472641361814e-06     -1.3556681551427913e-06    -2.3789756086357808e-05    -4.792808135543964e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5316.179857408674     All      -9.324379754741712e-05     7.809272067227229e-05      -0.0010529145990529508     8.82319809427855e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             6289.215008547278     All      -5.816496753761115e-05     -1.9972557408282584e-05    -1.3764871648550998e-05    1.1826261470187973e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5361.141951436828     All      3.254044121809419e-05      2.5210352075888765e-05     -0.00010327555838569317    -6.996365029656477e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7538.190314902192     All      -5.453875435057925e-05     1.4796195419442019e-05     -9.771922121616219e-05     1.822391415746158e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4365.491299267036     All      -0.00015272170646487938    8.747785415566936e-05      -0.0003185226387081554     6.402669678095487e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4398.245687975415     All      -0.00030537028070933497    8.568047405093141e-05      -0.0005463770003301566     0.0001029957999071775      
MWEBV         All|All|All                                All                   All      -0.8380492305290139        -4.058272333020341         0.06075186321650267        -1.0462215300425621        
Redshift      All|All|All                                All                   All      6.384152180256885          -1.3450310617653116        5.632165819848249          -2.266311571564491         
