#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5199.895469547223     All      0.5243862210929012         0.26350006822122296        -0.3198308154835425       -0.09925178325502397      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6019.259722934488     All      1.124921102237035          -0.03686103920115258       -0.07460483405346152      -0.38175993605977576      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4650.040535046143     All      -0.321906645739506         0.4693262064574988         0.22635638446943054       0.26783181656981003       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4256.695006373307     All      -0.4963610351910059        0.2782513454134161         -0.12365821823626613      0.24679843801500115       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3478.6738928702916    All      -0.24724340311637671       0.08014186449791794        -0.00927681237298928      0.10622617078801144       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7359.466694367061     All      0.41018306696935725        -0.05652075637616605       0.3010773483036944        -0.1385850901068134       
Check         All|All|All                              All                   All      0.9939793062524047         0.9978376890127372         6.305262686556734e-05     0.001259615951209464      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5199.895469547223     All      7.093917490976357e-05      6.977127095647142e-05      -0.0016947778782050006    -7.601057761152354e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6019.259722934488     All      -0.00013792909773193101    2.214701125585758e-06      -0.0007655503506153274    1.1486449779549486e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4650.040535046143     All      -0.00011028094407418495    -2.8176824326471807e-05    -0.0005149306054498084    3.765025016641492e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4256.695006373307     All      -0.0003404726881817311     0.00011929820510192314     -0.0005486658431664333    0.000125278069306141      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3478.6738928702916    All      -0.0005393498300604533     0.00015002423227573232     2.7753375380762373e-05    0.0002257903175124919     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7359.466694367061     All      -9.914441778216509e-05     1.7398543532029818e-05     -0.0003347394941821651    2.3023990427113448e-05    
MWEBV         All|All|All                              All                   All      -1.001090192603324         -3.8878107295072795        0.025655789066054684      -0.9391549491211421       
Redshift      All|All|All                              All                   All      7.036277635474785          -0.21239058522395382       15.986704383343778        -1.6477165212314793       
