#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5199.895469547223     All      0.4805470805289489        0.2705558810919051         -0.483156556727371         -0.08996210023084483       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6019.259722934488     All      1.1018388384225013        -0.065314048562648         0.06572790034402587        -0.3772469591654781        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4650.040535046143     All      -0.2948989487062348       0.5164438172057473         0.30063883190900587        0.2776971615255752         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4256.695006373307     All      -0.4945772927804605       0.31009839397597716        -0.16517785639473814       0.2547382151238953         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3478.6738928702916    All      -0.18724038168389684      0.056441578354604616       -0.04703669167729352       0.07727619976505284        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7359.466694367061     All      0.38949476548192163       -0.0652498714121208        0.3131945312749185         -0.13414885541022104       
Check         All|All|All                              All                   All      0.9951640612627799        1.0229757506534654         -0.015809841271452463      0.008353661607979346       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5199.895469547223     All      0.00016699982236338028    0.00013595893589247592     -0.001992291347725163      -9.901785052418624e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6019.259722934488     All      0.00030914855823383614    -1.1372460966611725e-05    -7.350554362646829e-05     -0.00010768445559520325    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4650.040535046143     All      -0.000159414489879673     0.0001501133285237794      -9.707070490677166e-05     9.64915738863924e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4256.695006373307     All      -0.0004415749888833497    0.00021229608900934417     -0.0003554738766927771     0.00019712415530481547     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3478.6738928702916    All      -0.0007529629206455173    0.00025875584526117523     -0.00042106685679449543    0.00031075980668594355     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7359.466694367061     All      -3.142430116502189e-05    -3.5686122154058407e-07    -0.00015334653241101266    3.2765358316523034e-06     
MWEBV         All|All|All                              All                   All      -1.0172799958753407       -3.885178650347143         -0.009309118376132908      -0.9345843660225839        
Redshift      All|All|All                              All                   All      5.236470061457324         -1.7773315623878183        11.636589265216069         -1.7653384021206975        
