#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6189.0428802025335    All      1.181574682599448          -0.16754157043399331      -0.12271749979877455      -0.444927866614291         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4781.202604769832     All      -0.21464395851454016       0.4238636934304818        0.17831490112421022       0.2159403235827488         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5346.567105416281     All      0.570103537777539          0.3919131596478831        0.36431194403783174       -0.041784899607971625      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7567.05260172005      All      0.3025063876287523         -0.03784491908569443      0.05783783100241635       -0.10828258106420707       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4376.762116113646     All      -0.5439321770776719        0.20208547938138643       -0.47770116682372965      0.22168488488736401        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3576.7956327226307    All      -0.30167128630690937       0.18823305492614573       0.0007721870013188692     0.15961242047304097        
Check         All|All|All                              All                   All      0.9939371861066176         1.0007088978662093        0.0008181965432729754     0.002242281656684081       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6189.0428802025335    All      -8.098921770077766e-05     9.962202916289451e-05     0.00023943042376031544    6.95157051852884e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4781.202604769832     All      -0.0001427217156819852     0.00027414334187949256    -0.0001581203170393886    0.0001287304801716878      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5346.567105416281     All      0.0003609242884311702      0.00012533446796379467    -0.0008467423250407951    -0.00011452557622083535    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7567.05260172005      All      -4.109836362187558e-05     -2.44287257143823e-05     -7.365814677536655e-05    2.1428246903153318e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4376.762116113646     All      -0.0005146177059905561     0.00014097772918766698    -0.0008762912302291802    0.00017444414874163695     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3576.7956327226307    All      -0.00037775012850543177    0.00017400847738129171    0.00037912171160388807    0.00019664439100210298     
MWEBV         All|All|All                              All                   All      -1.066505302320949         -3.975450900119526        0.016394174114831017      -0.9468076859755197        
Redshift      All|All|All                              All                   All      7.7907230424250145         -2.913811212366113        3.781785316185582         -3.3180552659523466        
