#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5991.798533752947     All      1.2117607189278083         0.06201022456977512        -0.9694506274627868       -0.4177736906581222        
Zeropoint     AB|PS|PS_g                4718.2038057826085    All      -1.1254719521515881        1.1556973221126476         0.29431364423478606       0.7561857470763522         
Zeropoint     AB|PS|PS_z                8340.484045643148     All      0.293302684471311          -0.0791862268290977        0.12081430753897461       -0.11594050526630918       
Zeropoint     AB|PS|PS_i                7257.365708335055     All      0.6219661211784779         -0.14067163308446595       0.5636142979584927        -0.22326468906926072       
Check         All|All|All               All                   All      1.0015575724260095         0.9978496867688591         0.00929162226946656       -0.00079313791733987       
Lambda        AB|PS|PS_r                5991.798533752947     All      -0.00018740993042749908    -2.7930506393665036e-05    -0.0010235437181712857    6.271639949305492e-06      
Lambda        AB|PS|PS_g                4718.2038057826085    All      -8.995735313903259e-05     -3.531465061547356e-05     0.00020189383912486768    2.6808520678718536e-05     
Lambda        AB|PS|PS_z                8340.484045643148     All      0.00026306714890328626     -7.583347950975827e-05     8.554589921681309e-05     -0.00010657356358968767    
Lambda        AB|PS|PS_i                7257.365708335055     All      -0.00012036988526121221    6.131716267389404e-06      -0.0006658035427750707    1.1493979207953395e-05     
MWEBV         All|All|All               All                   All      -0.6947145347781736        -3.983232058931385         0.1096599101901907        -1.0662847284876729        
Redshift      All|All|All               All                   All      4.659225475542691          1.0705429263637711         7.733310730827155         -0.8238498303112701        
