#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5991.798533752947     All      1.022087774637026          0.07356914103482382       -2.1140077283302583        -0.40330217992946177       
Zeropoint     AB|PS|PS_g                4718.2038057826085    All      -1.08300677641535          1.1707050428670485        0.5885049461418213         0.7603703572976638         
Zeropoint     AB|PS|PS_z                8340.484045643148     All      0.27043143242769413        -0.07150103162691934      0.260978232249065          -0.09973239291090931       
Zeropoint     AB|PS|PS_i                7257.365708335055     All      0.794232514641562          -0.1714438956058828       1.3050880027295042         -0.2563124931184048        
Check         All|All|All               All                   All      1.0037449452909324         1.0013292566690701        0.04056345279013218        0.0010232913388878995      
Lambda        AB|PS|PS_r                5991.798533752947     All      -0.0002004012715325253     -7.977462587262457e-05    -0.0007416030192263674     6.197730301592313e-06      
Lambda        AB|PS|PS_g                4718.2038057826085    All      -0.00018405114044385963    2.0677292982316622e-05    9.65704319700476e-05       7.099628097917681e-05      
Lambda        AB|PS|PS_z                8340.484045643148     All      0.00023875509706991705     -6.936225822607845e-05    -2.4830711222625876e-05    -0.00010147203997833722    
Lambda        AB|PS|PS_i                7257.365708335055     All      -0.00037341541404598596    4.544440097409454e-05     -0.0019960797673294916     4.736054947750493e-05      
MWEBV         All|All|All               All                   All      -0.6908991795510264        -3.983787261638305        0.18586403492022452        -1.0643077229000677        
Redshift      All|All|All               All                   All      6.009239546556206          1.1446054338801304        9.863655898931855          -1.1444017115708183        
