#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                6056.319603324117    All      1.0861300570378247         -0.06378477621904466      -0.5194492225327974        -0.39774572532373376      
Zeropoint     AB|PS|PS_g                4769.010513366147    All      -1.14520326070482          1.2733949013772339        0.005545265754758333       0.788064450648357         
Zeropoint     AB|PS|PS_i                7335.514697346143    All      0.7610636740412648         -0.1312304922195473       0.523011339411017          -0.2673099715835514       
Zeropoint     AB|PS|PS_z                8430.296302903595    All      0.30366171834029454        -0.08223418670860738      -0.010746218962176535      -0.12617854626928993      
Check         All|All|All               All                  All      1.005652188714564          0.9961454462300345        -0.0016388363291985897     -0.0031697925282181405    
Lambda        AB|PS|PS_r                6056.319603324117    All      0.0001048280625740504      -3.250535807642947e-05    -0.00015715032980296166    -5.174691069494646e-05    
Lambda        AB|PS|PS_g                4769.010513366147    All      -0.00036235723995065093    0.0001237312686408609     -0.0012889544120198158     0.00010081490363022706    
Lambda        AB|PS|PS_i                7335.514697346143    All      -0.00016262843177929602    -2.843737622294261e-05    -0.000780420799415825      8.883845614457776e-06     
Lambda        AB|PS|PS_z                8430.296302903595    All      0.0003270325150859571      -8.09013047180471e-05     6.96756629241933e-05       -0.0001297681609066416    
MWEBV         All|All|All               All                  All      -0.7011838774279484        -4.029826702494965        0.08325436264469133        -1.0805332173891513       
Redshift      All|All|All               All                  All      4.108425855686802          0.9613991900719654        7.895426437196917          -0.67275349958269         
