#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                            8586.226256554313     All      0.08717128611715674        -0.016009178714693206      0.03346481805146553        -0.03211589080091178       
Zeropoint     AB|PS|PS_g                            4857.21993822976      All      -0.12556364251759036       0.1723518388889289         0.009907284123481958       0.09748299001023984        
Zeropoint     AB|CNIa02|SDSS_i                      7435.771025809453     All      0.14255514030259211        -0.02577956676810267       0.02815571533582634        -0.05357569187937674       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6324.8546689512905    All      0.29265842396977365        -0.024339622960756202      0.05508573081068949        -0.10079846964477701       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7488.786546621665     All      0.16345949935000498        -0.02811496710330985       0.05125372772644396        -0.060114887868010426      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7836.638651590284     All      0.08625951108180095        -0.014862216467959044      0.032573771122848275       -0.031485055669683966      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4681.578789025912     All      -0.29503410562884547       0.25920454960375316        -0.03665620508886427       0.17889796584215775        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4348.081295922029     All      -0.30279359780835213       0.18783906705808207        -0.10772826095052597       0.15500778277401048        
Zeropoint     AB|PS|PS_i                            7471.1951557385       All      0.13820284668729174        -0.0230253377834444        0.05119830821923039        -0.05023257858133602       
Zeropoint     AB|PS|PS_r                            6168.3395847232305    All      0.28838434298611254        -0.036113464188769484      -0.11985304868295005       -0.1110481025551942        
Zeropoint     AB|CNIa02|SDSS_r                      6131.710772712672     All      0.374803727151316          -0.043489179363742636      -0.09490971936865261       -0.14048714595067233       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5438.197461630436     All      0.21168059956322988        0.08225715824252688        -0.042102271802246925      -0.044036303764694085      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5448.948200047131     All      0.2257698302357779         0.06993131060113456        -0.048726219133247914      -0.052936160148501075      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5350.450905609622     All      0.1877665405863298         0.09992100364755174        0.18579978893144566        -0.020322790180837134      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4424.026450634456     All      -0.19760066176366542       0.16461865895505134        0.10304809452877867        0.12258531259581741        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4346.897495755318     All      -0.2810083263245459        0.17153282089292787        -0.10012210214350942       0.1429395502357697         
Check         All|All|All                           All                   All      0.9967114139883869         0.995922874539179          0.00038941168021311423     -0.0002394755859995712     
Lambda        AB|PS|PS_z                            8586.226256554313     All      5.716872908407427e-05      -9.676157977333514e-06     3.4266201095052984e-05     -2.0244435671461084e-05    
Lambda        AB|PS|PS_g                            4857.21993822976      All      -3.901956147016459e-05     -2.0845586985817575e-05    -0.00028012935669866355    -6.581025206309414e-06     
Lambda        AB|CNIa02|SDSS_i                      7435.771025809453     All      -3.3026023597219595e-05    -1.290259540796074e-06     -7.252226133576888e-05     7.101046988085727e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6324.8546689512905    All      -9.00339419486278e-05      3.314282397600155e-06      -6.905968899521883e-05     2.7324770994750158e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7488.786546621665     All      -2.967979295575087e-05     -4.826142471546221e-06     -0.00010108739911956451    3.584585278444401e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7836.638651590284     All      1.5936028039575023e-06     7.454261611791613e-07      1.1151212841560925e-05     2.2134837671514853e-07     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4681.578789025912     All      -7.773392500673421e-05     -2.5572804530823562e-05    -0.0004569815888017769     -3.402396478805465e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4348.081295922029     All      -0.00015190684645203205    3.815063282128896e-05      -0.00034364866314156645    4.6572512189878306e-05     
Lambda        AB|PS|PS_i                            7471.1951557385       All      -3.444539926982889e-05     1.2800555712006339e-06     -5.459848875904781e-05     9.200476182749178e-06      
Lambda        AB|PS|PS_r                            6168.3395847232305    All      -4.2876539324135394e-05    1.9280627492903564e-07     -4.241098608843959e-05     1.213649527848476e-05      
Lambda        AB|CNIa02|SDSS_r                      6131.710772712672     All      -5.5301172134153995e-05    -1.1335980489174161e-05    -0.00018859763295701895    5.904663169338188e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5438.197461630436     All      2.4208399269866595e-06     -7.621581875620968e-06     -0.00021241255994379572    -1.2750144141663728e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5448.948200047131     All      8.665463893403304e-06      -1.2619855218033199e-05    -0.0003890780468416018     -2.4296094960500308e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5350.450905609622     All      2.920886705064794e-05      1.2388459724958824e-05     -7.993667920885625e-05     -9.046166898144112e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4424.026450634456     All      -3.099874680627226e-05     1.128502349049562e-05      -5.876155516513936e-05     1.115095675542143e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4346.897495755318     All      -7.466102046581701e-05     2.045674785022415e-05      -0.00015483881593598067    2.4073241215899615e-05     
MWEBV         All|All|All                           All                   All      -0.8236215486247582        -4.0835867764968725        0.042226456004528255       -1.0599935515959262        
Redshift      All|All|All                           All                   All      4.43795113992539           0.34345288661778994        2.2820384597223824         -1.2318758906598155        
