#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                            8586.226256554313     All      0.09134073633985038        -0.017081188582679374      0.03176269844172852        -0.033899164571991186      
Zeropoint     AB|PS|PS_g                            4857.21993822976      All      -0.12286067757320324       0.18329723003969178        0.05189193136643511        0.10204140137136698        
Zeropoint     AB|CNIa02|SDSS_i                      7435.771025809453     All      0.13517352341969158        -0.02422600380462825       0.025496327951646247       -0.0507838860895584        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6324.8546689512905    All      0.27567135121499986        -0.020792693662485817      0.0654400730075444         -0.09364780289102675       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7488.786546621665     All      0.17266000107087356        -0.029102637133870957      0.05759470345125528        -0.06315054196479562       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7836.638651590284     All      0.09007680945901121        -0.016446280087123455      0.02655131482998674        -0.03351321153564381       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4681.578789025912     All      -0.2822234778791324        0.23444778927812493        -0.11646714691617988       0.16309943584030642        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4348.081295922029     All      -0.3400771626267536        0.2119195787598116         -0.137439297258396         0.17367021422220358        
Zeropoint     AB|PS|PS_i                            7471.1951557385       All      0.1426075114165694         -0.02401064195289848       0.04747378307537464        -0.05215447722740768       
Zeropoint     AB|PS|PS_r                            6168.3395847232305    All      0.28734938506700114        -0.0342189771598278        -0.11236888458229788       -0.10975990208944748       
Zeropoint     AB|CNIa02|SDSS_r                      6131.710772712672     All      0.34388416547610173        -0.03553333611385767       -0.05932906591614162       -0.12623634645617943       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5438.197461630436     All      0.18899550091758704        0.07900574156529672        -0.05116461886033319       -0.03811052512578371       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5448.948200047131     All      0.23698480988657658        0.07757809419697281        -0.18511814122587622       -0.060184984051318835      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5350.450905609622     All      0.18346383730139854        0.10322305914911567        0.2608308544030019         -0.014497378208166642      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4424.026450634456     All      -0.1646827753976834        0.1518553855895277         0.1501096973633098         0.10980559919413178        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4346.897495755318     All      -0.25238899345178234       0.15584436813158575        -0.09662428589581051       0.12866313824613748        
Check         All|All|All                           All                   All      0.985974544641106          0.9957594882127552         -0.04136005676475263       0.0013415686628267254      
Lambda        AB|PS|PS_z                            8586.226256554313     All      7.441350010248997e-05      -1.239977996903123e-05     4.37280805569708e-05       -2.6326557991927103e-05    
Lambda        AB|PS|PS_g                            4857.21993822976      All      -3.837248784707461e-05     -2.4987724887811858e-05    -0.0003415412986334959     -1.0881561874112764e-05    
Lambda        AB|CNIa02|SDSS_i                      7435.771025809453     All      -2.7840307499403617e-05    -1.79631437732354e-06      -6.616990945457352e-05     5.530526230229155e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6324.8546689512905    All      -8.411734091899634e-05     1.186364897946108e-06      -6.179498886002217e-05     2.502859685443629e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7488.786546621665     All      -2.539196382971177e-05     -6.210986250384387e-06     -0.00010695585877297311    1.4749266864593046e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7836.638651590284     All      4.700261762941389e-06      1.2339281127162333e-06     1.975250315268442e-05      -2.4763541312944294e-07    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4681.578789025912     All      -6.513594582918344e-05     -2.1710665687775737e-05    -0.00042409708187031713    -4.780462565089821e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4348.081295922029     All      -0.00022706473917419152    6.501862055249458e-05      -0.0003478436126556351     7.961849667520003e-05      
Lambda        AB|PS|PS_i                            7471.1951557385       All      -3.3440444081906175e-05    1.0068571462502803e-06     -5.555514403313762e-05     8.741448369907688e-06      
Lambda        AB|PS|PS_r                            6168.3395847232305    All      -2.8908128468814337e-05    -5.4467615473885455e-06    -5.8072922602383375e-05    5.050611245895528e-06      
Lambda        AB|CNIa02|SDSS_r                      6131.710772712672     All      -1.338781631135613e-05     -2.5271971800010335e-05    -0.00020475943326928918    -1.3008533500503852e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5438.197461630436     All      1.592036813905865e-05      -1.0508959966496758e-05    -0.0002255700989682524     -1.8675059174008467e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5448.948200047131     All      -0.00014464949973443976    3.475547002799549e-05      -0.0003243056790447817     4.39658279261564e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5350.450905609622     All      7.481327549800051e-05      9.158676144944504e-07      -8.769647657163842e-05     -2.7984307874208642e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4424.026450634456     All      9.324053646474237e-06      4.576442893707602e-06      -4.058192742189593e-05     -3.35743804871869e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4346.897495755318     All      -6.413722539355292e-05     1.9647074885586437e-05     -0.00017602015048664036    1.9436332137612255e-05     
MWEBV         All|All|All                           All                   All      -0.8200527626513372        -4.084662326919908         0.046893282997068075       -1.0612981056996653        
Redshift      All|All|All                           All                   All      4.585921505972143          0.1801200343059861         1.9505984042054585         -1.348068237879482         
