#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_i
@MAGSYS  Linear_AB11_off
57833.32668  15.969  0.033
57833.32952  15.946  0.033
57840.21858  15.154  0.032
57840.22138  15.169  0.032
57844.28804  15.32  0.032
57844.29085  15.328  0.032
57849.28174  15.531  0.032
57849.28456  15.515  0.033
57850.18089  15.566  0.035
57850.18375  15.572  0.034
57860.25045  16.119  0.034
57860.25326  16.116  0.032
57866.20521  15.946  0.03
57866.20802  15.919  0.035
57871.21937  15.904  0.033
57871.22222  15.878  0.033
57875.21207  16.063  0.034
57875.21486  16.068  0.033
57887.14964  16.829  0.035
57887.15243  16.849  0.033
57893.14304  17.123  0.034
57893.14585  17.093  0.035
