#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4374.805448730678     All      -0.38644789984335726       0.1657419008698202         -0.517399417060993         0.15677722494326432        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4366.942378622708     All      -0.7122214929722629        0.5754478599613755         0.1956724147878952         0.4281682324949772         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6363.814885214145     All      0.3490858840979343         -0.0866430363905657        -0.24715485315734975       -0.15296063041402505       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6517.4026365491845    All      0.7384472550354026         -0.10074173337839554       -0.03761956108018216       -0.2750302502546525        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5364.299578430089     All      0.08482600539775141        0.01201640974768381        -0.6658820734930848        -0.053431739322026134      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5361.626788713925     All      0.45992351070073934        0.5146255057229432         1.0947264323585504         0.06667085220043167        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7818.849874113706     All      0.2959639878954494         -0.0333300724846719        0.2217676544766234         -0.09736543704131073       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7888.757065966096     All      0.16853713528365966        -0.04994578424715179       -0.03969273797986839       -0.07293837935962652       
Check         All|All|All                                      All                   All      0.9981143855953166         0.9971710498010378         0.00441785885159085        -0.00011012675296773189    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4374.805448730678     All      -0.00030180404278838885    0.0001277871560524466      -0.0004751984583212477     0.00011872606190580603     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4366.942378622708     All      -0.0003255199507496278     8.916225479685892e-05      -0.0005933718830829071     0.000108596175102322       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6363.814885214145     All      -6.29964657690146e-05      -1.6562513816880979e-06    -3.1754116271392574e-05    1.8563485491252677e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6517.4026365491845    All      -0.00022995587602391842    -1.6629037727426414e-05    -0.00035106971795636707    5.382094037018558e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5364.299578430089     All      2.556729465019359e-05      -2.9800017170663616e-05    -0.0006920110008772063     -4.891622766808941e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5361.626788713925     All      2.875331988994434e-05      -2.5137486319365336e-05    -0.0005824718619842266     -4.35470525410908e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7818.849874113706     All      -1.1171476157936067e-05    6.510105346491013e-06      4.6212909500813404e-05     7.821742705550007e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7888.757065966096     All      -7.3815880631101085e-06    1.4271668130487877e-05     6.737530324287574e-05      1.005982825337849e-05      
MWEBV         All|All|All                                      All                   All      -0.8294698641063638        -4.063862370323523         0.02236328711539004        -1.052550076834642         
Redshift      All|All|All                                      All                   All      3.80963860477023           -0.12477952736684728       -1.598656044228619         -1.3529101010411722        
