#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4374.805448730678     All      -0.3941732216822761        0.1601539345108094         -0.6161249718624126        0.1530677638592622         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4366.942378622708     All      -0.6524119037487195        0.5763130339707878         0.301334897747472          0.41368332857032936        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6363.814885214145     All      0.30842153162854336        -0.07036924176277992       -0.18200069282801642       -0.13150647176181157       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6517.4026365491845    All      0.7696890246007386         -0.10527069929953115       -0.08106967440079384       -0.2886209346231852        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5364.299578430089     All      0.05775496637245202        -0.011926142110851856      -0.608590761096611         -0.04985603998486632       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5361.626788713925     All      0.3876283198361918         0.5563663313152389         1.07534955233218           0.10295143327314524        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7818.849874113706     All      0.32353298573469025        -0.04557634065047722       0.17840668007962876        -0.11226958020008415       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7888.757065966096     All      0.19709295273571614        -0.06255750327657239       -0.0644884048371577        -0.08745451709282709       
Check         All|All|All                                      All                   All      0.9975346554773367         0.9971333726966236         0.00281662513428943        -5.017960037573266e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4374.805448730678     All      -0.00033670610957291485    0.00013596812607792591     -0.0005376311566989565     0.00012997353979905007     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4366.942378622708     All      -0.00031910285493394664    0.00013288567630609477     -0.000456522057136832      0.00012685505192582913     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6363.814885214145     All      -5.057655836787489e-05     2.5265883496916685e-06     -2.1849510365307972e-05    1.6322398631113803e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6517.4026365491845    All      -0.00019857959846618183    -9.128993180120605e-06     -0.00024062964973252686    5.09720987858974e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5364.299578430089     All      3.4245738617664164e-05     -3.3570231916196824e-05    -0.0005827049706008465     -4.8093339252826374e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5361.626788713925     All      7.688002095432471e-05      -2.907621814340949e-06     -0.00044597308805911654    -4.589119082500476e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7818.849874113706     All      -9.852187234861042e-06     1.5594852020224254e-06     1.94778551226163e-05       4.58636436113417e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7888.757065966096     All      -1.6554489408056424e-05    1.4586236534189215e-05     5.3028906506054176e-05     1.2509995483249207e-05     
MWEBV         All|All|All                                      All                   All      -0.8019663134023101        -4.071792054066314         0.022502976108947987       -1.0640856133345533        
Redshift      All|All|All                                      All                   All      3.5331796583970627         -0.29678489542668274       -1.8101771522955403        -1.3283253497355814        
