#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7344.563499399129    All      0.6566240635487236         -0.0664455021524013        0.14882642861602235       -0.22888610585691527      
Zeropoint     AB|PS|PS_z                8440.695584431936    All      0.35512903773827703        -0.096682802109882         0.19427013556558848       -0.13850059650673402      
Zeropoint     AB|PS|PS_g                4774.893376928491    All      -1.180746458091292         1.2331359238220152         -0.2678973009270891       0.7743258800281094        
Zeropoint     AB|PS|PS_r                6063.790440684708    All      1.1761155502660856         -0.0707684369134931        -0.08776160934471644      -0.41006753343967584      
Check         All|All|All               All                  All      1.0071221934617942         0.9992391826462388         -0.012562346090194687     -0.0031283557752156965    
Lambda        AB|PS|PS_i                7344.563499399129    All      -0.00020459386730939638    -6.716603478543957e-05     -0.0009159517734811436    3.8900454583192615e-06    
Lambda        AB|PS|PS_z                8440.695584431936    All      0.0004491226477561513      -0.00013920594619489042    0.00019165207810541808    -0.0001830854264659933    
Lambda        AB|PS|PS_g                4774.893376928491    All      -0.0004510961289840643     8.782895603818739e-05      -0.0011129451271703642    0.0001258800008468768     
Lambda        AB|PS|PS_r                6063.790440684708    All      -0.0003436106859758347     -1.2673038097067605e-05    -0.0013540739595608482    4.7371177660889524e-05    
MWEBV         All|All|All               All                  All      -0.6952637306669587        -4.038568127418163         0.038028651834576266      -1.087327189397351        
Redshift      All|All|All               All                  All      7.184276776170101          0.9564040429425269         10.707707507701757        -1.5507872327923236       
