#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          5259.432621710265     All      0.347037895552919         0.4852414905935021         -0.0014409520865066305     0.044953154594375155       
Zeropoint     AB|DECam|DECam_i          6389.553719626453     All      0.8951821846760324        -0.04810269871988737       -0.3602658308580531        -0.32333592906302056       
Zeropoint     AB|DECam|DECam_z          7487.61721951821      All      0.5658249130250632        -0.0373683750721554        0.41948353872829913        -0.177760274687766         
Zeropoint     AB|DECam|DECam_g          3957.2149312095926    All      -0.8129015815974646       0.5947977289796569         -0.07620526875393718       0.4551332862403362         
Check         All|All|All               All                   All      0.9951434116565498        0.9945681457811162         -0.018428512970197763      -0.0010097629160751853     
Lambda        AB|DECam|DECam_r          5259.432621710265     All      9.441248584409547e-06     5.9147304445528596e-05     -0.0012171965083240205     -3.8126992110511976e-05    
Lambda        AB|DECam|DECam_i          6389.553719626453     All      -0.0002650491547036772    -1.0713744749116002e-05    -0.00017918670422488434    7.484913077386061e-05      
Lambda        AB|DECam|DECam_z          7487.61721951821      All      -8.774250373952625e-05    -2.2383709898911854e-05    -0.00038087800199814234    4.292673474550128e-06      
Lambda        AB|DECam|DECam_g          3957.2149312095926    All      -0.0008801816846388483    0.0005401015463362427      -0.0005868419454216744     0.00043644491350238487     
MWEBV         All|All|All               All                   All      -0.4766661179016811       -3.158452694195546         0.07502254425918453        -0.870198204472429         
Redshift      All|All|All               All                   All      6.041343604691237         -0.003091103567243181      0.10242565083664612        -1.9643004541022344        
