#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          5259.432621710265     All      0.37139651577126154        0.4883078793746165        -0.05928673039407162      0.03543618291184599       
Zeropoint     AB|DECam|DECam_i          6389.553719626453     All      0.9153010825839798         -0.031666433857324705     -0.27037089942239695      -0.32052388588344394      
Zeropoint     AB|DECam|DECam_z          7487.61721951821      All      0.48552839563957007        -0.027335606903378107     0.3713784428135022        -0.1504837641294783       
Zeropoint     AB|DECam|DECam_g          3957.2149312095926    All      -0.7764981902839776        0.5694042170969027        -0.04200452283974769      0.436530224023399         
Check         All|All|All               All                   All      0.9957278037108338         0.9987100557108164        -0.0002837098427140722    0.0009587569223227232     
Lambda        AB|DECam|DECam_r          5259.432621710265     All      -2.3979141312582033e-05    4.053572375827071e-05     -0.0011790570197567367    -3.16012855491271e-05     
Lambda        AB|DECam|DECam_i          6389.553719626453     All      -0.0003548884559176629     -1.30475831324128e-05     -0.0002770697330362812    9.898446884667088e-05     
Lambda        AB|DECam|DECam_z          7487.61721951821      All      -7.15336614767805e-05      -8.990953322935787e-06    -0.000202350179796448     1.1342258476133987e-05    
Lambda        AB|DECam|DECam_g          3957.2149312095926    All      -0.0007587390940906921     0.0004515079338481874     -0.0006223305047541253    0.0003664455207777083     
MWEBV         All|All|All               All                   All      -0.48022086101392514       -3.1526932497808247       0.0907547327391346        -0.8664622118506965       
Redshift      All|All|All               All                   All      5.922283670925571          0.200181224146867         -1.0927336280019426       -1.9126407015683944       
