#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5103.489437462803     All      0.6631614210478356         0.32539676476126544        -1.0246988870483509        -0.1557486657368711       
Zeropoint     AB|SDSS|SDSS_g            3905.6289206310576    All      -0.9953378538163385        0.5852231994278867         0.2623860298084193         0.5265498173706771        
Zeropoint     AB|SDSS|SDSS_i            6188.872942032474     All      1.2283698355413089         0.0824195082600454         0.6247849763206341         -0.3453924382818686       
Zeropoint     AB|SDSS|SDSS_z            7358.054031966737     All      0.10240787107934195        0.00593155381576338        0.1442026673110335         -0.024990407766113023     
Check         All|All|All               All                   All      0.9986012738521479         0.9989710262649609         0.006674786391736048       0.0004183055858243724     
Lambda        AB|SDSS|SDSS_r            5103.489437462803     All      -0.00011555345379520149    -2.3283237911413864e-05    -0.0016595143087493832     -4.400105681266381e-05    
Lambda        AB|SDSS|SDSS_g            3905.6289206310576    All      -0.000913954539203471      0.00043853478508282294     -0.0009362770984798133     0.00039876852175718555    
Lambda        AB|SDSS|SDSS_i            6188.872942032474     All      -0.0002367697439872315     -2.5391174757694306e-05    -0.00032737336367719236    5.424378449699083e-05     
Lambda        AB|SDSS|SDSS_z            7358.054031966737     All      -2.1977287037063995e-05    -1.0832787566570217e-06    -2.6798181153756787e-05    5.609986144085439e-06     
MWEBV         All|All|All               All                   All      -0.5776955631876421        -3.1838291158752696        0.07954098482668556        -0.8453538885232481       
Redshift      All|All|All               All                   All      5.312857226247806          0.5176127714278778         0.19618824480606023        -1.5532138974858303       
