#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          5629.086177338219    All      -0.045922349167612564     -0.040189075272678565      -0.87015954664669          -0.03696370814190963       
Zeropoint     AB|DECam|DECam_i          6838.636619098543    All      1.054597684996215         0.15911865681026427        0.7077525898638098         -0.26010323236957944       
Zeropoint     AB|DECam|DECam_g          4235.343519389886    All      -0.5871568642275844       0.925931736120944          0.24185875429226936        0.503655781656863          
Zeropoint     AB|DECam|DECam_z          8013.87632909417     All      0.5756838571509763        -0.04489075898526096       -0.07536547489708834       -0.2055047837775695        
Check         All|All|All               All                  All      0.9972023287519944        0.9999705586732688         0.0040863226123008245      0.0010840573678043974      
Lambda        AB|DECam|DECam_r          5629.086177338219    All      -2.833596362600983e-06    1.5651130641766864e-06     -9.101348761886386e-05     -2.6287095690575506e-06    
Lambda        AB|DECam|DECam_i          6838.636619098543    All      -0.00057852022432664      -0.00015150421447107545    -0.001098927560357366      9.005307299237961e-05      
Lambda        AB|DECam|DECam_g          4235.343519389886    All      -0.0003408510293747614    0.00045854262350764616     -0.00029089222026565945    0.00024740762824300075     
Lambda        AB|DECam|DECam_z          8013.87632909417     All      0.00013229058822196207    5.4731068666420906e-05     0.0005831109874270547      7.578780853307217e-07      
MWEBV         All|All|All               All                  All      -0.4836685553360036       -3.484099918081185         0.0033460658527259103      -0.9771898865548397        
Redshift      All|All|All               All                  All      0.130674360707101         0.6455655339465238         -2.148798110710306         0.07182600393228367        
