#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          5629.086177338219    All      -0.05373099262659775      -0.06081999634162116      -1.2604616523442358       -0.05855773618442467      
Zeropoint     AB|DECam|DECam_i          6838.636619098543    All      1.0951843836864383        0.14437846062591575       0.7991330439016009        -0.2740471322625418       
Zeropoint     AB|DECam|DECam_g          4235.343519389886    All      -0.6008980621902146       0.9306649914799792        0.35172200545234844       0.5145762112108031        
Zeropoint     AB|DECam|DECam_z          8013.87632909417     All      0.557075431864466         -0.014007430622697825     0.11651762071918093       -0.18082083011356223      
Check         All|All|All               All                  All      0.997630760734092         1.000216025141576         0.006911017728894464      0.00115051265027441       
Lambda        AB|DECam|DECam_r          5629.086177338219    All      -3.842973306063724e-06    -4.802082843664215e-07    -0.0002420700247524449    -9.707110218041581e-06    
Lambda        AB|DECam|DECam_i          6838.636619098543    All      -0.000685189173368978     -0.0001821095782287008    -0.0015523266443902709    9.459636640352121e-05     
Lambda        AB|DECam|DECam_g          4235.343519389886    All      -0.0003260889234903415    0.00041583602688764065    -0.0003409911318718034    0.0002264524968441515     
Lambda        AB|DECam|DECam_z          8013.87632909417     All      0.00014174370553516377    6.888187217752085e-05     0.0007130849329906476     8.08820927103447e-06      
MWEBV         All|All|All               All                  All      -0.500987612814225        -3.4775019178193034       0.02575137189508858       -0.9683994680962381       
Redshift      All|All|All               All                  All      1.237424346430859         0.6574056954892882        -1.199295467800754        -0.24245020522158767      
